curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10
11,11,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,7,0,0,0
6,6,6,6,6,6,6,6,0,0,0
5,5,5,5,5,5,5,5,0,0,0
11,11,11,11,11,0,0,0,0,0,0
10,10,10,10,10,0,0,0,10,10,10
9,9,9,9,9,0,0,0,9,9,9
8,8,8,8,8,0,0,0,8,8,8
4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10
7,7,7,7,7,7,7,7,10,10,10
6,6,6,6,6,6,6,6,0,0,0
5,5,5,5,5,5,5,5,0,0,0
4,4,4,4,4,4,4,4,0,0,0
10,10,10,10,10,0,0,0,0,0,0
9,9,9,9,9,0,0,0,9,9,9
8,8,8,8,8,0,0,0,8,8,8
4,4,4,4,4,0,0,0,4,4,4
3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
-1,1,2,3,4,5,6,7,8,9,10
