curr
ID,PE1,PE2,PE3
13,13,13,13
3,3,3,3
2,2,2,2
1,1,1,1
13,13,13,13
6,6,6,6
5,5,5,5
4,4,4,4
13,13,13,13
9,9,9,9
8,8,8,8
7,7,7,7
13,13,13,13
12,12,12,12
11,11,11,11
10,10,10,10
par
ID,PE1,PE2,PE3
3,3,3,3
2,2,2,2
1,1,1,1
0,0,0,0
6,6,6,6
5,5,5,5
4,4,4,4
0,0,0,0
9,9,9,9
8,8,8,8
7,7,7,7
0,0,0,0
12,12,12,12
11,11,11,11
10,10,10,10
0,0,0,0
derv
ID,PE1,PE2,PE3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
