curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
25,25,25,25,25,25,25
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
25,25,25,25,25,25,25
12,12,12,12,12,12,12
11,11,11,11,11,11,11
10,10,10,10,10,10,10
9,9,9,9,9,9,9
8,8,8,8,8,8,8
7,7,7,7,7,7,7
25,25,25,25,25,25,25
18,18,18,18,18,18,18
17,17,17,17,17,17,17
16,16,16,16,16,16,16
15,15,15,15,15,15,15
14,14,14,14,14,14,14
13,13,13,13,13,13,13
25,25,25,25,25,25,25
24,24,24,24,24,24,24
23,23,23,23,23,23,23
22,22,22,22,22,22,22
21,21,21,21,21,21,21
20,20,20,20,20,20,20
19,19,19,19,19,19,19
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,0,0,0,0,0,0
12,12,12,12,12,12,12
11,11,11,11,11,11,11
10,10,10,10,10,10,10
9,9,9,9,9,9,9
8,8,8,8,8,8,8
7,7,7,7,7,7,7
0,0,0,0,0,0,0
18,18,18,18,18,18,18
17,17,17,17,17,17,17
16,16,16,16,16,16,16
15,15,15,15,15,15,15
14,14,14,14,14,14,14
13,13,13,13,13,13,13
0,0,0,0,0,0,0
24,24,24,24,24,24,24
23,23,23,23,23,23,23
22,22,22,22,22,22,22
21,21,21,21,21,21,21
20,20,20,20,20,20,20
19,19,19,19,19,19,19
0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
