curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
1,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0,0
4,3,3,3,0,0,0,0,0
5,4,4,4,4,0,0,0,0
6,5,5,5,5,5,0,0,0
7,6,6,6,6,6,6,0,0
8,7,7,7,7,7,7,7,0
9,8,8,8,8,8,8,8,8
10,9,0,0,0,0,0,0,0
11,10,10,0,0,0,0,0,0
12,11,11,11,0,0,0,0,0
13,12,12,12,12,0,0,0,0
14,13,13,13,13,13,0,0,0
15,14,14,14,14,14,14,0,0
16,15,15,15,15,15,15,15,0
17,16,16,16,16,16,16,16,16
18,17,0,0,0,0,0,0,0
19,18,18,0,0,0,0,0,0
20,19,19,19,0,0,0,0,0
21,20,20,20,20,0,0,0,0
22,21,21,21,21,21,0,0,0
23,22,22,22,22,22,22,0,0
24,23,23,23,23,23,23,23,0
25,24,24,24,24,24,24,24,24
26,25,0,0,0,0,0,0,0
27,26,26,0,0,0,0,0,0
28,27,27,27,0,0,0,0,0
29,28,28,28,28,0,0,0,0
30,29,29,29,29,29,0,0,0
31,30,30,30,30,30,30,0,0
32,31,31,31,31,31,31,31,0
0,32,32,32,32,32,32,32,32
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0
3,2,2,2,0,0,0,0,0
4,3,3,3,3,0,0,0,0
5,4,4,4,4,4,0,0,0
6,5,5,5,5,5,5,0,0
7,6,6,6,6,6,6,6,0
0,7,7,7,7,7,7,7,7
9,0,0,0,0,0,0,0,0
10,9,9,0,0,0,0,0,0
11,10,10,10,0,0,0,0,0
12,11,11,11,11,0,0,0,0
13,12,12,12,12,12,0,0,0
14,13,13,13,13,13,13,0,0
15,14,14,14,14,14,14,14,0
0,15,15,15,15,15,15,15,15
17,0,0,0,0,0,0,0,0
18,17,17,0,0,0,0,0,0
19,18,18,18,0,0,0,0,0
20,19,19,19,19,0,0,0,0
21,20,20,20,20,20,0,0,0
22,21,21,21,21,21,21,0,0
23,22,22,22,22,22,22,22,0
0,23,23,23,23,23,23,23,23
25,0,0,0,0,0,0,0,0
26,25,25,0,0,0,0,0,0
27,26,26,26,0,0,0,0,0
28,27,27,27,27,0,0,0,0
29,28,28,28,28,28,0,0,0
30,29,29,29,29,29,29,0,0
31,30,30,30,30,30,30,30,0
0,31,31,31,31,31,31,31,31
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,9,2,3,4,5,6,7,8
-1,9,10,3,4,5,6,7,8
-1,9,10,11,4,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,13,6,7,8
-1,9,10,11,12,13,14,7,8
-1,9,10,11,12,13,14,15,8
-1,9,10,11,12,13,14,15,16
-1,17,10,11,12,13,14,15,16
-1,17,18,11,12,13,14,15,16
-1,17,18,19,12,13,14,15,16
-1,17,18,19,20,13,14,15,16
-1,17,18,19,20,21,14,15,16
-1,17,18,19,20,21,22,15,16
-1,17,18,19,20,21,22,23,16
-1,17,18,19,20,21,22,23,24
-1,25,18,19,20,21,22,23,24
-1,25,26,19,20,21,22,23,24
-1,25,26,27,20,21,22,23,24
-1,25,26,27,28,21,22,23,24
-1,25,26,27,28,29,22,23,24
-1,25,26,27,28,29,30,23,24
-1,25,26,27,28,29,30,31,24
-1,25,26,27,28,29,30,31,32
