curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10
48,48,48,48,48,48,48,48,48,48,48
17,17,17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8,8
48,48,48,48,48,48,48,48,48,48,48
27,27,27,27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26,26,26,26
25,25,25,25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24,24,24,24
23,23,23,23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22,22,22,22
21,21,21,21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18,18,18
48,48,48,48,48,48,48,48,48,48,48
37,37,37,37,37,37,37,37,37,37,37
36,36,36,36,36,36,36,36,36,36,36
35,35,35,35,35,35,35,35,35,35,35
34,34,34,34,34,34,34,34,34,34,34
33,33,33,33,33,33,33,33,33,33,33
32,32,32,32,32,32,32,32,32,32,32
31,31,31,31,31,31,31,31,31,31,31
30,30,30,30,30,30,30,30,30,30,30
29,29,29,29,29,29,29,29,29,29,29
28,28,28,28,28,28,28,28,28,28,28
48,48,48,48,48,48,48,48,48,48,48
47,47,47,47,47,47,47,47,47,47,47
46,46,46,46,46,46,46,46,46,46,46
45,45,45,45,45,45,45,45,45,45,45
44,44,44,44,44,44,44,44,44,44,44
43,43,43,43,43,43,43,43,43,43,43
42,42,42,42,42,42,42,42,42,42,42
41,41,41,41,41,41,41,41,41,41,41
40,40,40,40,40,40,40,40,40,40,40
39,39,39,39,39,39,39,39,39,39,39
38,38,38,38,38,38,38,38,38,38,38
48,48,48,48,48,48,48,48,0,0,0
7,7,7,7,7,7,7,7,0,0,0
6,6,6,6,6,6,6,6,0,0,0
5,5,5,5,5,5,5,5,0,0,0
4,4,4,4,4,4,4,4,0,0,0
3,3,3,3,3,3,3,3,0,0,0
2,2,2,2,2,2,2,2,0,0,0
1,1,1,1,1,1,1,1,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10
17,17,17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0,0,0,0
27,27,27,27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26,26,26,26
25,25,25,25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24,24,24,24
23,23,23,23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22,22,22,22
21,21,21,21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18,18,18
0,0,0,0,0,0,0,0,0,0,0
37,37,37,37,37,37,37,37,37,37,37
36,36,36,36,36,36,36,36,36,36,36
35,35,35,35,35,35,35,35,35,35,35
34,34,34,34,34,34,34,34,34,34,34
33,33,33,33,33,33,33,33,33,33,33
32,32,32,32,32,32,32,32,32,32,32
31,31,31,31,31,31,31,31,31,31,31
30,30,30,30,30,30,30,30,30,30,30
29,29,29,29,29,29,29,29,29,29,29
28,28,28,28,28,28,28,28,28,28,28
0,0,0,0,0,0,0,0,0,0,0
47,47,47,47,47,47,47,47,47,47,47
46,46,46,46,46,46,46,46,46,46,46
45,45,45,45,45,45,45,45,45,45,45
44,44,44,44,44,44,44,44,44,44,44
43,43,43,43,43,43,43,43,43,43,43
42,42,42,42,42,42,42,42,42,42,42
41,41,41,41,41,41,41,41,41,41,41
40,40,40,40,40,40,40,40,40,40,40
39,39,39,39,39,39,39,39,39,39,39
38,38,38,38,38,38,38,38,38,38,38
0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,0,0,0
6,6,6,6,6,6,6,6,0,0,0
5,5,5,5,5,5,5,5,0,0,0
4,4,4,4,4,4,4,4,0,0,0
3,3,3,3,3,3,3,3,0,0,0
2,2,2,2,2,2,2,2,0,0,0
1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,8,9,10,11,12,13,14,15,16,17
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,18,19,20,21,22,23,24,25,26,27
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,28,29,30,31,32,33,34,35,36,37
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,38,39,40,41,42,43,44,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
-1,1,2,3,4,5,6,7,45,46,47
