curr
ID,PE1,PE2,PE3,PE4,PE5
16,16,16,16,16,16
7,7,7,7,7,7
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
1,1,1,1,1,1
16,16,16,16,16,16
9,7,7,9,9,0
8,6,6,8,8,0
16,5,5,16,16,0
11,4,4,11,0,11
10,3,3,10,0,10
16,2,2,16,0,16
13,1,1,13,13,0
12,16,0,12,12,0
16,0,0,0,0,0
15,15,0,0,0,15
14,14,0,0,0,14
par
ID,PE1,PE2,PE3,PE4,PE5
7,7,7,7,7,7
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
1,1,1,1,1,1
0,0,0,0,0,0
9,7,7,9,9,11
8,6,6,8,8,0
0,5,5,0,0,0
11,4,4,11,13,0
10,3,3,10,0,10
0,2,2,0,0,0
13,1,1,13,0,15
12,0,0,12,12,0
0,15,0,0,0,0
15,0,0,0,0,0
14,14,0,0,0,14
0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,11,12,10
-1,6,7,11,12,10
-1,6,7,11,12,10
-1,6,7,13,12,14
-1,6,7,13,12,14
-1,15,7,13,12,14
-1,15,7,13,12,14
-1,15,7,13,12,14
-1,15,7,13,12,14
