curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
28,28,28,28,28,28,28
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
28,28,28,28,28,28,28
12,7,12,12,12,12,12
11,6,11,11,11,11,11
10,5,10,10,10,10,10
9,4,9,9,9,9,9
8,3,8,8,8,8,8
28,2,28,28,28,28,28
17,1,17,17,17,17,17
16,28,16,16,16,16,16
15,0,15,15,15,15,15
14,0,14,14,14,14,14
13,0,13,13,13,13,13
28,0,28,28,28,28,28
22,22,22,22,22,22,0
21,21,21,21,21,21,0
20,20,20,20,20,20,0
19,19,19,19,19,19,0
18,18,18,18,18,18,0
28,28,28,28,28,0,0
27,27,27,27,27,0,27
26,26,26,26,26,0,26
25,25,25,25,25,0,25
24,24,24,24,24,0,24
23,23,23,23,23,0,23
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,0,0,0,0,0,0
12,7,12,12,12,12,12
11,6,11,11,11,11,11
10,5,10,10,10,10,10
9,4,9,9,9,9,9
8,3,8,8,8,8,8
0,2,0,0,0,0,0
17,1,17,17,17,17,17
16,0,16,16,16,16,16
15,22,15,15,15,15,15
14,0,14,14,14,14,14
13,0,13,13,13,13,13
0,0,0,0,0,0,0
22,0,22,22,22,22,27
21,21,21,21,21,21,0
20,20,20,20,20,20,0
19,19,19,19,19,19,0
18,18,18,18,18,18,0
0,0,0,0,0,0,0
27,27,27,27,27,0,0
26,26,26,26,26,0,26
25,25,25,25,25,0,25
24,24,24,24,24,0,24
23,23,23,23,23,0,23
0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,13,14,15,16,17
-1,7,13,14,15,16,17
-1,18,13,14,15,16,17
-1,18,13,14,15,16,17
-1,18,13,14,15,16,17
-1,18,13,14,15,16,17
-1,18,19,20,21,22,23
-1,18,19,20,21,22,23
-1,18,19,20,21,22,23
-1,18,19,20,21,22,23
-1,18,19,20,21,22,23
-1,18,19,20,21,22,23
-1,24,25,26,27,22,23
-1,24,25,26,27,22,23
-1,24,25,26,27,22,23
-1,24,25,26,27,22,23
-1,24,25,26,27,22,23
-1,24,25,26,27,22,23
