curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
1,0,0,0,0,0,0
2,1,0,0,0,0,0
3,2,2,0,0,0,0
4,3,3,3,0,0,0
5,4,4,4,4,0,0
6,5,5,5,5,5,0
7,6,6,6,6,6,6
8,7,7,7,7,7,7
9,8,7,0,0,0,0
10,9,9,0,0,0,0
11,10,10,10,0,0,0
12,11,11,11,11,0,0
13,12,12,12,12,12,0
14,13,13,13,13,13,13
15,14,0,0,0,0,0
16,15,15,0,0,0,0
17,16,16,16,0,0,0
18,17,17,17,17,0,0
19,18,18,18,18,18,0
20,19,19,19,19,19,19
21,20,0,0,0,0,0
22,21,21,0,0,0,0
23,22,22,22,0,0,0
24,23,23,23,23,0,0
25,24,24,24,24,24,0
26,25,25,25,25,25,25
27,26,0,0,0,0,0
28,27,27,0,0,0,0
29,28,28,28,0,0,0
30,29,29,29,29,0,0
31,30,30,30,30,30,0
0,31,31,31,31,31,31
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,1,1,0,0,0,0
3,2,2,2,0,0,0
4,3,3,3,3,0,0
5,4,4,4,4,4,0
6,5,5,5,5,5,5
0,6,6,6,6,6,6
8,0,6,0,0,0,0
9,8,8,0,0,0,0
10,9,9,9,0,0,0
11,10,10,10,10,0,0
12,11,11,11,11,11,0
0,12,12,12,12,12,12
14,0,0,0,0,0,0
15,14,14,0,0,0,0
16,15,15,15,0,0,0
17,16,16,16,16,0,0
18,17,17,17,17,17,0
0,18,18,18,18,18,18
20,0,0,0,0,0,0
21,20,20,0,0,0,0
22,21,21,21,0,0,0
23,22,22,22,22,0,0
24,23,23,23,23,23,0
0,24,24,24,24,24,24
26,0,0,0,0,0,0
27,26,26,0,0,0,0
28,27,27,27,0,0,0
29,28,28,28,28,0,0
30,29,29,29,29,29,0
0,30,30,30,30,30,30
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,8,7,3,4,5,6
-1,8,9,3,4,5,6
-1,8,9,10,4,5,6
-1,8,9,10,11,5,6
-1,8,9,10,11,12,6
-1,8,9,10,11,12,13
-1,14,9,10,11,12,13
-1,14,15,10,11,12,13
-1,14,15,16,11,12,13
-1,14,15,16,17,12,13
-1,14,15,16,17,18,13
-1,14,15,16,17,18,19
-1,20,15,16,17,18,19
-1,20,21,16,17,18,19
-1,20,21,22,17,18,19
-1,20,21,22,23,18,19
-1,20,21,22,23,24,19
-1,20,21,22,23,24,25
-1,26,21,22,23,24,25
-1,26,27,22,23,24,25
-1,26,27,28,23,24,25
-1,26,27,28,29,24,25
-1,26,27,28,29,30,25
-1,26,27,28,29,30,31
