curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0
3,2,2,0,0,0,0,0
4,3,3,3,0,0,0,0
5,4,4,4,4,0,0,0
6,5,5,5,5,5,0,0
7,6,6,6,6,6,6,0
8,7,7,7,7,7,7,7
9,8,0,0,0,0,0,0
10,9,9,0,0,0,0,0
11,10,10,10,0,0,0,0
12,11,11,11,11,0,0,0
13,12,12,12,12,12,0,0
14,13,13,13,13,13,13,0
15,14,14,14,14,14,14,14
16,15,0,0,0,0,0,0
17,16,16,0,0,0,0,0
18,17,17,17,0,0,0,0
19,18,18,18,18,0,0,0
20,19,19,19,19,19,0,0
21,20,20,20,20,20,20,0
22,21,21,21,21,21,21,21
23,22,0,0,0,0,0,0
24,23,23,0,0,0,0,0
25,24,24,24,0,0,0,0
26,25,25,25,25,0,0,0
27,26,26,26,26,26,0,0
28,27,27,27,27,27,27,0
29,28,28,28,28,28,28,28
30,29,0,0,0,0,0,0
31,30,30,0,0,0,0,0
32,31,31,31,0,0,0,0
33,32,32,32,32,0,0,0
34,33,33,33,33,33,0,0
35,34,34,34,34,34,34,0
0,35,35,35,35,35,35,35
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0
3,2,2,2,0,0,0,0
4,3,3,3,3,0,0,0
5,4,4,4,4,4,0,0
6,5,5,5,5,5,5,0
0,6,6,6,6,6,6,6
8,0,0,0,0,0,0,0
9,8,8,0,0,0,0,0
10,9,9,9,0,0,0,0
11,10,10,10,10,0,0,0
12,11,11,11,11,11,0,0
13,12,12,12,12,12,12,0
0,13,13,13,13,13,13,13
15,0,0,0,0,0,0,0
16,15,15,0,0,0,0,0
17,16,16,16,0,0,0,0
18,17,17,17,17,0,0,0
19,18,18,18,18,18,0,0
20,19,19,19,19,19,19,0
0,20,20,20,20,20,20,20
22,0,0,0,0,0,0,0
23,22,22,0,0,0,0,0
24,23,23,23,0,0,0,0
25,24,24,24,24,0,0,0
26,25,25,25,25,25,0,0
27,26,26,26,26,26,26,0
0,27,27,27,27,27,27,27
29,0,0,0,0,0,0,0
30,29,29,0,0,0,0,0
31,30,30,30,0,0,0,0
32,31,31,31,31,0,0,0
33,32,32,32,32,32,0,0
34,33,33,33,33,33,33,0
0,34,34,34,34,34,34,34
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,8,2,3,4,5,6,7
-1,8,9,3,4,5,6,7
-1,8,9,10,4,5,6,7
-1,8,9,10,11,5,6,7
-1,8,9,10,11,12,6,7
-1,8,9,10,11,12,13,7
-1,8,9,10,11,12,13,14
-1,15,9,10,11,12,13,14
-1,15,16,10,11,12,13,14
-1,15,16,17,11,12,13,14
-1,15,16,17,18,12,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,20,14
-1,15,16,17,18,19,20,21
-1,22,16,17,18,19,20,21
-1,22,23,17,18,19,20,21
-1,22,23,24,18,19,20,21
-1,22,23,24,25,19,20,21
-1,22,23,24,25,26,20,21
-1,22,23,24,25,26,27,21
-1,22,23,24,25,26,27,28
-1,29,23,24,25,26,27,28
-1,29,30,24,25,26,27,28
-1,29,30,31,25,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,33,27,28
-1,29,30,31,32,33,34,28
-1,29,30,31,32,33,34,35
