curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
40,40,40,40,40,40,40,40,40
15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8
40,40,40,40,40,40,40,40,40
23,23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22,22
21,21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16
40,40,40,40,40,40,40,40,40
31,31,31,31,31,31,31,31,31
30,30,30,30,30,30,30,30,30
29,29,29,29,29,29,29,29,29
28,28,28,28,28,28,28,28,28
27,27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26,26
25,25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24,24
40,40,40,40,40,40,40,40,40
39,39,39,39,39,39,39,39,39
38,38,38,38,38,38,38,38,38
37,37,37,37,37,37,37,37,37
36,36,36,36,36,36,36,36,36
35,35,35,35,35,35,35,35,35
34,34,34,34,34,34,34,34,34
33,33,33,33,33,33,33,33,33
32,32,32,32,32,32,32,32,32
40,40,40,40,40,40,40,40,0
7,7,7,7,7,7,7,7,0
6,6,6,6,6,6,6,6,0
5,5,5,5,5,5,5,5,0
4,4,4,4,4,4,4,4,0
3,3,3,3,3,3,3,3,0
2,2,2,2,2,2,2,2,0
1,1,1,1,1,1,1,1,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0,0
23,23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22,22
21,21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16
0,0,0,0,0,0,0,0,0
31,31,31,31,31,31,31,31,31
30,30,30,30,30,30,30,30,30
29,29,29,29,29,29,29,29,29
28,28,28,28,28,28,28,28,28
27,27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26,26
25,25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24,24
0,0,0,0,0,0,0,0,0
39,39,39,39,39,39,39,39,39
38,38,38,38,38,38,38,38,38
37,37,37,37,37,37,37,37,37
36,36,36,36,36,36,36,36,36
35,35,35,35,35,35,35,35,35
34,34,34,34,34,34,34,34,34
33,33,33,33,33,33,33,33,33
32,32,32,32,32,32,32,32,32
0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,0
6,6,6,6,6,6,6,6,0
5,5,5,5,5,5,5,5,0
4,4,4,4,4,4,4,4,0
3,3,3,3,3,3,3,3,0
2,2,2,2,2,2,2,2,0
1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,8,9,10,11,12,13,14,15
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,16,17,18,19,20,21,22,23
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,24,25,26,27,28,29,30,31
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,32,33,34,35,36,37,38,39
-1,1,2,3,4,5,6,7,39
-1,1,2,3,4,5,6,7,39
-1,1,2,3,4,5,6,7,39
-1,1,2,3,4,5,6,7,39
-1,1,2,3,4,5,6,7,39
-1,1,2,3,4,5,6,7,39
-1,1,2,3,4,5,6,7,39
-1,1,2,3,4,5,6,7,39
