curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
44,44,44,44,44,44,44,44,44,44
16,16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8
44,44,44,44,44,44,44,44,44,44
25,25,25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24,24,24
23,23,23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22,22,22
21,21,21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17,17,17
44,44,44,44,44,44,44,44,44,44
34,34,34,34,34,34,34,34,34,34
33,33,33,33,33,33,33,33,33,33
32,32,32,32,32,32,32,32,32,32
31,31,31,31,31,31,31,31,31,31
30,30,30,30,30,30,30,30,30,30
29,29,29,29,29,29,29,29,29,29
28,28,28,28,28,28,28,28,28,28
27,27,27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26,26,26
44,44,44,44,44,44,44,44,44,44
43,43,43,43,43,43,43,43,43,43
42,42,42,42,42,42,42,42,42,42
41,41,41,41,41,41,41,41,41,41
40,40,40,40,40,40,40,40,40,40
39,39,39,39,39,39,39,39,39,39
38,38,38,38,38,38,38,38,38,38
37,37,37,37,37,37,37,37,37,37
36,36,36,36,36,36,36,36,36,36
35,35,35,35,35,35,35,35,35,35
44,44,44,44,44,44,44,44,0,0
7,7,7,7,7,7,7,7,0,0
6,6,6,6,6,6,6,6,0,0
5,5,5,5,5,5,5,5,0,0
4,4,4,4,4,4,4,4,0,0
3,3,3,3,3,3,3,3,0,0
2,2,2,2,2,2,2,2,0,0
1,1,1,1,1,1,1,1,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
16,16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0,0,0
25,25,25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24,24,24
23,23,23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22,22,22
21,21,21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17,17,17
0,0,0,0,0,0,0,0,0,0
34,34,34,34,34,34,34,34,34,34
33,33,33,33,33,33,33,33,33,33
32,32,32,32,32,32,32,32,32,32
31,31,31,31,31,31,31,31,31,31
30,30,30,30,30,30,30,30,30,30
29,29,29,29,29,29,29,29,29,29
28,28,28,28,28,28,28,28,28,28
27,27,27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26,26,26
0,0,0,0,0,0,0,0,0,0
43,43,43,43,43,43,43,43,43,43
42,42,42,42,42,42,42,42,42,42
41,41,41,41,41,41,41,41,41,41
40,40,40,40,40,40,40,40,40,40
39,39,39,39,39,39,39,39,39,39
38,38,38,38,38,38,38,38,38,38
37,37,37,37,37,37,37,37,37,37
36,36,36,36,36,36,36,36,36,36
35,35,35,35,35,35,35,35,35,35
0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,0,0
6,6,6,6,6,6,6,6,0,0
5,5,5,5,5,5,5,5,0,0
4,4,4,4,4,4,4,4,0,0
3,3,3,3,3,3,3,3,0,0
2,2,2,2,2,2,2,2,0,0
1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
