curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0
8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0
7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0
16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,0,0,0,12,12,12,0,0,0
11,11,11,11,11,11,11,0,0,0,11,11,11,0,0,0
10,10,10,10,10,10,10,0,0,0,10,10,10,0,0,0
16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0
15,15,15,15,15,15,15,0,0,0,0,0,0,15,15,15
14,14,14,14,14,14,14,0,0,0,0,0,0,14,14,14
13,13,13,13,13,13,13,0,0,0,0,0,0,13,13,13
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15
9,9,9,9,9,9,9,9,9,9,12,12,12,15,15,15
8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0
7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0
6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0
12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,11,0,0,0,11,11,11,0,0,0
10,10,10,10,10,10,10,0,0,0,10,10,10,0,0,0
6,6,6,6,6,6,6,0,0,0,6,6,6,0,0,0
15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
14,14,14,14,14,14,14,0,0,0,0,0,0,14,14,14
13,13,13,13,13,13,13,0,0,0,0,0,0,13,13,13
6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
