curr
ID,PE1,PE2,PE3,PE4,PE5
12,12,12,12,12,12
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
12,12,12,12,12,12
11,11,11,11,11,11
10,10,10,10,10,10
9,9,9,9,9,9
8,8,8,8,8,8
7,7,7,7,7,7
12,12,0,0,0,0
1,1,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
0,0,0,0,0,0
11,11,11,11,11,11
10,10,10,10,10,10
9,9,9,9,9,9
8,8,8,8,8,8
7,7,7,7,7,7
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,7,8,9,10,11
-1,7,8,9,10,11
-1,7,8,9,10,11
-1,7,8,9,10,11
-1,7,8,9,10,11
-1,7,8,9,10,11
-1,1,8,9,10,11
-1,1,8,9,10,11
