curr
ID,PE1,PE2,PE3,PE4
2,0,0,0,0
3,2,0,0,0
4,3,3,0,0
5,4,4,4,0
6,5,5,5,5
7,6,6,6,6
8,7,6,0,0
9,8,8,0,0
10,9,9,9,0
11,10,10,10,10
1,11,11,11,11
0,1,11,0,0
par
ID,PE1,PE2,PE3,PE4
0,0,0,0,0
2,0,0,0,0
3,2,2,0,0
4,3,3,3,0
5,4,4,4,4
0,5,5,5,5
7,0,5,0,0
8,7,7,0,0
9,8,8,8,0
10,9,9,9,9
0,10,10,10,10
0,0,10,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,7,6,4,5
-1,7,8,4,5
-1,7,8,9,5
-1,7,8,9,10
-1,7,8,9,10
-1,1,11,9,10
