curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
18,18,18,18,18,18,18,18,18
9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2
18,18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10
18,18,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0
17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,10,11,12,13,14,15,16,17
-1,1,11,12,13,14,15,16,17
-1,1,11,12,13,14,15,16,17
