curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,3,3,0,0,0,0,0
5,4,4,4,0,0,0,0
6,5,5,5,5,0,0,0
7,6,6,6,6,6,0,0
8,7,7,7,7,7,7,0
9,8,8,8,8,8,8,8
10,9,9,9,9,9,9,9
11,10,9,0,0,0,0,0
12,11,11,0,0,0,0,0
13,12,12,12,0,0,0,0
14,13,13,13,13,0,0,0
15,14,14,14,14,14,0,0
16,15,15,15,15,15,15,0
17,16,16,16,16,16,16,16
1,17,17,17,17,17,17,17
0,1,17,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0
4,3,3,3,0,0,0,0
5,4,4,4,4,0,0,0
6,5,5,5,5,5,0,0
7,6,6,6,6,6,6,0
8,7,7,7,7,7,7,7
0,8,8,8,8,8,8,8
10,0,8,0,0,0,0,0
11,10,10,0,0,0,0,0
12,11,11,11,0,0,0,0
13,12,12,12,12,0,0,0
14,13,13,13,13,13,0,0
15,14,14,14,14,14,14,0
16,15,15,15,15,15,15,15
0,16,16,16,16,16,16,16
0,0,16,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,10,9,4,5,6,7,8
-1,10,11,4,5,6,7,8
-1,10,11,12,5,6,7,8
-1,10,11,12,13,6,7,8
-1,10,11,12,13,14,7,8
-1,10,11,12,13,14,15,8
-1,10,11,12,13,14,15,16
-1,10,11,12,13,14,15,16
-1,1,17,12,13,14,15,16
