curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
20,20,20,20,20,20,20,20,20,20
10,10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2
20,20,20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11,11
20,20,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
10,10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0
19,19,19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11,11,11
0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,2,3,4,5,6,7,8,9,10
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,11,12,13,14,15,16,17,18,19
-1,1,12,13,14,15,16,17,18,19
-1,1,12,13,14,15,16,17,18,19
