curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
2,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
4,3,3,0,0,0,0,0,0
5,4,4,4,0,0,0,0,0
6,5,5,5,5,0,0,0,0
7,6,6,6,6,6,0,0,0
8,7,7,7,7,7,7,0,0
9,8,8,8,8,8,8,8,0
10,9,9,9,9,9,9,9,9
11,10,10,10,10,10,10,10,10
12,11,10,0,0,0,0,0,0
13,12,12,0,0,0,0,0,0
14,13,13,13,0,0,0,0,0
15,14,14,14,14,0,0,0,0
16,15,15,15,15,15,0,0,0
17,16,16,16,16,16,16,0,0
18,17,17,17,17,17,17,17,0
19,18,18,18,18,18,18,18,18
1,19,19,19,19,19,19,19,19
0,1,19,0,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0,0
4,3,3,3,0,0,0,0,0
5,4,4,4,4,0,0,0,0
6,5,5,5,5,5,0,0,0
7,6,6,6,6,6,6,0,0
8,7,7,7,7,7,7,7,0
9,8,8,8,8,8,8,8,8
0,9,9,9,9,9,9,9,9
11,0,9,0,0,0,0,0,0
12,11,11,0,0,0,0,0,0
13,12,12,12,0,0,0,0,0
14,13,13,13,13,0,0,0,0
15,14,14,14,14,14,0,0,0
16,15,15,15,15,15,15,0,0
17,16,16,16,16,16,16,16,0
18,17,17,17,17,17,17,17,17
0,18,18,18,18,18,18,18,18
0,0,18,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,11,10,4,5,6,7,8,9
-1,11,12,4,5,6,7,8,9
-1,11,12,13,5,6,7,8,9
-1,11,12,13,14,6,7,8,9
-1,11,12,13,14,15,7,8,9
-1,11,12,13,14,15,16,8,9
-1,11,12,13,14,15,16,17,9
-1,11,12,13,14,15,16,17,18
-1,11,12,13,14,15,16,17,18
-1,1,19,13,14,15,16,17,18
