curr
ID,PE1,PE2,PE3,PE4
9,9,9,9,9
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
9,9,9,0,0
8,8,8,0,0
7,7,7,0,0
6,6,6,0,0
2,2,2,2,2
1,1,1,1,1
0,9,9,9,9
0,5,8,8,8
0,4,7,7,7
0,3,6,6,6
0,2,2,2,2
0,1,1,1,1
par
ID,PE1,PE2,PE3,PE4
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
8,8,8,0,0
7,7,7,0,0
6,6,6,0,0
2,2,2,0,0
1,1,1,1,1
0,0,0,0,0
0,5,8,8,8
0,4,7,7,7
0,3,6,6,6
0,2,2,2,2
0,1,1,1,1
0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
