curr
ID,PE1,PE2,PE3,PE4,PE5
10,10,10,10,10,10
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
10,10,10,10,0,0
9,9,9,9,0,0
8,8,8,8,0,0
7,7,7,7,0,0
3,3,3,3,3,3
2,2,2,2,2,2
1,1,1,1,1,1
0,10,10,10,10,0
0,6,9,9,9,0
0,5,8,8,8,0
0,4,7,7,7,0
0,3,3,3,3,0
0,2,2,2,2,0
0,1,1,1,1,0
par
ID,PE1,PE2,PE3,PE4,PE5
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
9,9,9,9,0,0
8,8,8,8,0,0
7,7,7,7,0,0
3,3,3,3,0,0
2,2,2,2,2,2
1,1,1,1,1,1
0,0,0,0,0,0
0,6,9,9,9,0
0,5,8,8,8,0
0,4,7,7,7,0
0,3,3,3,3,0
0,2,2,2,2,0
0,1,1,1,1,0
0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,6,7,8,9,5
-1,6,7,8,9,5
-1,6,7,8,9,5
-1,6,7,8,9,5
-1,6,7,8,9,5
-1,6,7,8,9,5
-1,6,7,8,9,5
