curr
ID,PE1,PE2,PE3,PE4
17,17,17,17,17
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
1,1,1,1,1
17,17,17,17,17
8,8,8,8,8
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
17,17,17,17,17
12,12,12,12,12
11,11,11,11,11
10,10,10,10,10
9,9,9,9,9
17,17,17,17,17
16,16,16,16,16
15,15,15,15,15
14,14,14,14,14
13,13,13,13,13
par
ID,PE1,PE2,PE3,PE4
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
1,1,1,1,1
0,0,0,0,0
8,8,8,8,8
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
0,0,0,0,0
12,12,12,12,12
11,11,11,11,11
10,10,10,10,10
9,9,9,9,9
0,0,0,0,0
16,16,16,16,16
15,15,15,15,15
14,14,14,14,14
13,13,13,13,13
0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,9,10,11,12
-1,9,10,11,12
-1,9,10,11,12
-1,9,10,11,12
-1,9,10,11,12
-1,13,14,15,16
-1,13,14,15,16
-1,13,14,15,16
-1,13,14,15,16
-1,13,14,15,16
