curr
ID,PE1,PE2,PE3,PE4
1,0,0,0,0
2,1,0,0,0
3,2,2,0,0
4,3,3,3,0
5,4,4,4,4
6,5,0,0,0
7,6,6,0,0
8,7,7,7,0
9,8,8,8,8
10,9,0,0,0
11,10,10,0,0
12,11,11,11,0
13,12,12,12,12
14,13,0,0,0
15,14,14,0,0
16,15,15,15,0
0,16,16,16,16
par
ID,PE1,PE2,PE3,PE4
0,0,0,0,0
1,0,0,0,0
2,1,1,0,0
3,2,2,2,0
0,3,3,3,3
5,0,0,0,0
6,5,5,0,0
7,6,6,6,0
0,7,7,7,7
9,0,0,0,0
10,9,9,0,0
11,10,10,10,0
0,11,11,11,11
13,0,0,0,0
14,13,13,0,0
15,14,14,14,0
0,15,15,15,15
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,2,3,4
-1,5,6,3,4
-1,5,6,7,4
-1,5,6,7,8
-1,9,6,7,8
-1,9,10,7,8
-1,9,10,11,8
-1,9,10,11,12
-1,13,10,11,12
-1,13,14,11,12
-1,13,14,15,12
-1,13,14,15,16
