curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
1,0,0,0,0,0,0
2,1,0,0,0,0,0
3,2,2,0,0,0,0
4,3,3,3,0,0,0
5,4,4,4,4,0,0
6,5,5,5,5,5,0
7,6,6,6,6,6,6
8,7,0,0,0,0,0
9,8,8,0,0,0,0
10,9,9,9,0,0,0
11,10,10,10,10,0,0
12,11,11,11,11,11,0
13,12,12,12,12,12,12
14,13,0,0,0,0,0
15,14,14,0,0,0,0
16,15,15,15,0,0,0
17,16,16,16,16,0,0
18,17,17,17,17,17,0
19,18,18,18,18,18,18
20,19,0,0,0,0,0
21,20,20,0,0,0,0
22,21,21,21,0,0,0
23,22,22,22,22,0,0
24,23,23,23,23,23,0
0,24,24,24,24,24,24
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,1,1,0,0,0,0
3,2,2,2,0,0,0
4,3,3,3,3,0,0
5,4,4,4,4,4,0
0,5,5,5,5,5,5
7,0,0,0,0,0,0
8,7,7,0,0,0,0
9,8,8,8,0,0,0
10,9,9,9,9,0,0
11,10,10,10,10,10,0
0,11,11,11,11,11,11
13,0,0,0,0,0,0
14,13,13,0,0,0,0
15,14,14,14,0,0,0
16,15,15,15,15,0,0
17,16,16,16,16,16,0
0,17,17,17,17,17,17
19,0,0,0,0,0,0
20,19,19,0,0,0,0
21,20,20,20,0,0,0
22,21,21,21,21,0,0
23,22,22,22,22,22,0
0,23,23,23,23,23,23
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,8,3,4,5,6
-1,7,8,9,4,5,6
-1,7,8,9,10,5,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,12
-1,13,8,9,10,11,12
-1,13,14,9,10,11,12
-1,13,14,15,10,11,12
-1,13,14,15,16,11,12
-1,13,14,15,16,17,12
-1,13,14,15,16,17,18
-1,19,14,15,16,17,18
-1,19,20,15,16,17,18
-1,19,20,21,16,17,18
-1,19,20,21,22,17,18
-1,19,20,21,22,23,18
-1,19,20,21,22,23,24
