curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
33,33,33,33,33,33,33,33
8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
33,33,33,33,33,33,33,33
16,8,16,16,16,16,16,16
15,7,15,15,15,15,15,15
14,6,14,14,14,14,14,14
13,5,13,13,13,13,13,13
12,4,12,12,12,12,12,12
11,3,11,11,11,11,11,11
10,2,10,10,10,10,10,10
9,1,9,9,9,9,9,9
33,33,33,33,33,33,33,33
24,16,16,24,24,24,24,24
23,15,15,23,23,23,23,23
22,14,14,22,22,22,22,22
21,13,13,21,21,21,21,21
20,12,12,20,20,20,20,20
19,11,11,19,19,19,19,19
18,10,10,18,18,18,18,18
17,9,9,17,17,17,17,17
33,33,33,33,33,33,33,33
32,24,24,24,32,32,32,32
31,23,23,23,31,31,31,31
30,22,22,22,30,30,30,30
29,21,21,21,29,29,29,29
28,20,20,20,28,28,28,28
27,19,19,19,27,27,27,27
26,18,18,18,26,26,26,26
25,17,17,17,25,25,25,25
0,33,33,33,33,0,0,0
0,32,32,32,32,0,0,0
0,31,31,31,31,0,0,0
0,30,30,30,30,0,0,0
0,29,29,29,29,0,0,0
0,28,28,28,28,0,0,0
0,27,27,27,27,0,0,0
0,26,26,26,26,0,0,0
0,25,25,25,25,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0
16,8,16,16,16,16,16,16
15,7,15,15,15,15,15,15
14,6,14,14,14,14,14,14
13,5,13,13,13,13,13,13
12,4,12,12,12,12,12,12
11,3,11,11,11,11,11,11
10,2,10,10,10,10,10,10
9,1,9,9,9,9,9,9
0,0,0,0,0,0,0,0
24,16,16,24,24,24,24,24
23,15,15,23,23,23,23,23
22,14,14,22,22,22,22,22
21,13,13,21,21,21,21,21
20,12,12,20,20,20,20,20
19,11,11,19,19,19,19,19
18,10,10,18,18,18,18,18
17,9,9,17,17,17,17,17
0,0,0,0,0,0,0,0
32,24,24,24,32,32,32,32
31,23,23,23,31,31,31,31
30,22,22,22,30,30,30,30
29,21,21,21,29,29,29,29
28,20,20,20,28,28,28,28
27,19,19,19,27,27,27,27
26,18,18,18,26,26,26,26
25,17,17,17,25,25,25,25
0,0,0,0,0,0,0,0
0,32,32,32,32,0,0,0
0,31,31,31,31,0,0,0
0,30,30,30,30,0,0,0
0,29,29,29,29,0,0,0
0,28,28,28,28,0,0,0
0,27,27,27,27,0,0,0
0,26,26,26,26,0,0,0
0,25,25,25,25,0,0,0
0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
-1,29,30,31,32,26,27,28
