curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
37,37,37,37,37,37,37
9,9,9,9,9,9,9
8,8,8,8,8,8,8
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
37,37,37,37,37,37,37
18,9,9,9,18,18,18
17,8,8,8,17,17,17
16,7,7,7,16,16,16
15,6,6,6,15,15,15
14,5,5,5,14,14,14
13,4,4,4,13,13,13
12,3,3,3,12,12,12
11,2,2,2,11,11,11
10,1,1,1,10,10,10
37,37,37,37,37,37,37
27,18,18,18,18,18,18
26,17,17,17,17,17,17
25,16,16,16,16,16,16
24,15,15,15,15,15,15
23,14,14,14,14,14,14
22,13,13,13,13,13,13
21,12,12,12,12,12,12
20,11,11,11,11,11,11
19,10,10,10,10,10,10
37,37,37,37,37,37,37
36,27,27,27,27,27,27
35,26,26,26,26,26,26
34,25,25,25,25,25,25
33,24,24,24,24,24,24
32,23,23,23,23,23,23
31,22,22,22,22,22,22
30,21,21,21,21,21,21
29,20,20,20,20,20,20
28,19,19,19,19,19,19
0,37,37,37,37,37,37
0,27,27,27,36,36,36
0,26,26,26,35,35,35
0,25,25,25,34,34,34
0,24,24,24,33,33,33
0,23,23,23,32,32,32
0,22,22,22,31,31,31
0,21,21,21,30,30,30
0,20,20,20,29,29,29
0,19,19,19,28,28,28
0,37,37,37,37,37,37
0,36,36,36,36,36,36
0,35,35,35,35,35,35
0,34,34,34,34,34,34
0,33,33,33,33,33,33
0,32,32,32,32,32,32
0,31,31,31,31,31,31
0,30,30,30,30,30,30
0,29,29,29,29,29,29
0,28,28,28,28,28,28
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
9,9,9,9,9,9,9
8,8,8,8,8,8,8
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,0,0,0,0,0,0
18,9,9,9,18,18,18
17,8,8,8,17,17,17
16,7,7,7,16,16,16
15,6,6,6,15,15,15
14,5,5,5,14,14,14
13,4,4,4,13,13,13
12,3,3,3,12,12,12
11,2,2,2,11,11,11
10,1,1,1,10,10,10
0,0,0,0,0,0,0
27,18,18,18,18,18,18
26,17,17,17,17,17,17
25,16,16,16,16,16,16
24,15,15,15,15,15,15
23,14,14,14,14,14,14
22,13,13,13,13,13,13
21,12,12,12,12,12,12
20,11,11,11,11,11,11
19,10,10,10,10,10,10
0,0,0,0,0,0,0
36,27,27,27,27,27,27
35,26,26,26,26,26,26
34,25,25,25,25,25,25
33,24,24,24,24,24,24
32,23,23,23,23,23,23
31,22,22,22,22,22,22
30,21,21,21,21,21,21
29,20,20,20,20,20,20
28,19,19,19,19,19,19
0,0,0,0,0,0,0
0,27,27,27,36,36,36
0,26,26,26,35,35,35
0,25,25,25,34,34,34
0,24,24,24,33,33,33
0,23,23,23,32,32,32
0,22,22,22,31,31,31
0,21,21,21,30,30,30
0,20,20,20,29,29,29
0,19,19,19,28,28,28
0,0,0,0,0,0,0
0,36,36,36,36,36,36
0,35,35,35,35,35,35
0,34,34,34,34,34,34
0,33,33,33,33,33,33
0,32,32,32,32,32,32
0,31,31,31,31,31,31
0,30,30,30,30,30,30
0,29,29,29,29,29,29
0,28,28,28,28,28,28
0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,13,14,15,16,17,18
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,19,20,21,22,23,24
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,25,26,27,28,29,30
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
-1,31,32,33,34,35,36
