curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0
3,2,2,0,0,0,0,0
4,3,3,3,0,0,0,0
5,4,4,4,4,0,0,0
6,5,5,5,5,5,0,0
7,6,6,6,6,6,6,0
8,7,7,7,7,7,7,7
9,8,8,8,8,8,8,8
10,9,9,9,9,9,9,9
11,10,8,9,0,0,0,0
12,11,9,11,0,0,0,0
13,12,12,12,0,0,0,0
14,13,13,13,13,0,0,0
15,14,14,14,14,14,0,0
16,15,15,15,15,15,15,0
17,16,16,16,16,16,16,16
18,17,17,17,17,17,17,17
19,18,18,18,18,18,18,18
20,19,17,18,0,0,0,0
21,20,18,20,0,0,0,0
22,21,21,21,0,0,0,0
23,22,22,22,22,0,0,0
24,23,23,23,23,23,0,0
25,24,24,24,24,24,24,0
26,25,25,25,25,25,25,25
27,26,26,26,26,26,26,26
28,27,27,27,27,27,27,27
29,28,26,27,0,0,0,0
30,29,27,29,0,0,0,0
31,30,30,30,0,0,0,0
32,31,31,31,31,0,0,0
33,32,32,32,32,32,0,0
34,33,33,33,33,33,33,0
35,34,34,34,34,34,34,34
36,35,35,35,35,35,35,35
0,36,36,36,36,36,36,36
0,35,36,0,0,0,0,0
0,36,0,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0
3,2,2,2,0,0,0,0
4,3,3,3,3,0,0,0
5,4,4,4,4,4,0,0
6,5,5,5,5,5,5,0
7,6,6,6,6,6,6,6
8,7,7,7,7,7,7,7
0,8,8,8,8,8,8,8
10,0,7,8,0,0,0,0
11,10,8,10,0,0,0,0
12,11,11,11,0,0,0,0
13,12,12,12,12,0,0,0
14,13,13,13,13,13,0,0
15,14,14,14,14,14,14,0
16,15,15,15,15,15,15,15
17,16,16,16,16,16,16,16
0,17,17,17,17,17,17,17
19,0,16,17,0,0,0,0
20,19,17,19,0,0,0,0
21,20,20,20,0,0,0,0
22,21,21,21,21,0,0,0
23,22,22,22,22,22,0,0
24,23,23,23,23,23,23,0
25,24,24,24,24,24,24,24
26,25,25,25,25,25,25,25
0,26,26,26,26,26,26,26
28,0,25,26,0,0,0,0
29,28,26,28,0,0,0,0
30,29,29,29,0,0,0,0
31,30,30,30,30,0,0,0
32,31,31,31,31,31,0,0
33,32,32,32,32,32,32,0
34,33,33,33,33,33,33,33
35,34,34,34,34,34,34,34
0,35,35,35,35,35,35,35
0,34,35,0,0,0,0,0
0,35,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,10,8,9,4,5,6,7
-1,10,8,11,4,5,6,7
-1,10,12,11,4,5,6,7
-1,10,12,11,13,5,6,7
-1,10,12,11,13,14,6,7
-1,10,12,11,13,14,15,7
-1,10,12,11,13,14,15,16
-1,10,12,11,13,14,15,16
-1,10,12,11,13,14,15,16
-1,19,17,18,13,14,15,16
-1,19,17,20,13,14,15,16
-1,19,21,20,13,14,15,16
-1,19,21,20,22,14,15,16
-1,19,21,20,22,23,15,16
-1,19,21,20,22,23,24,16
-1,19,21,20,22,23,24,25
-1,19,21,20,22,23,24,25
-1,19,21,20,22,23,24,25
-1,28,26,27,22,23,24,25
-1,28,26,29,22,23,24,25
-1,28,30,29,22,23,24,25
-1,28,30,29,31,23,24,25
-1,28,30,29,31,32,24,25
-1,28,30,29,31,32,33,25
-1,28,30,29,31,32,33,34
-1,28,30,29,31,32,33,34
-1,28,30,29,31,32,33,34
-1,35,36,29,31,32,33,34
-1,35,36,29,31,32,33,34
