curr
ID,PE1,PE2,PE3,PE4
12,12,12,12,12
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
1,1,1,1,1
12,12,12,12,12
8,7,7,7,8
12,6,6,6,12
9,5,5,5,9
12,4,4,4,12
10,3,3,3,10
12,2,2,2,12
11,1,1,1,11
par
ID,PE1,PE2,PE3,PE4
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
1,1,1,1,1
0,0,0,0,0
8,7,7,7,8
0,6,6,6,0
9,5,5,5,9
0,4,4,4,0
10,3,3,3,10
0,2,2,2,0
11,1,1,1,11
0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,9
-1,5,6,7,9
-1,5,6,7,10
-1,5,6,7,10
-1,5,6,7,11
-1,5,6,7,11
