curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
8,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0
10,9,9,0,0,0,0,0
11,10,10,10,0,0,0,0
12,11,11,11,11,0,0,0
13,12,12,12,12,12,0,0
14,13,13,13,13,13,13,0
15,14,14,14,14,14,14,14
16,15,15,15,15,15,15,15
17,16,16,16,16,16,16,16
18,17,17,17,17,17,17,17
19,18,15,16,17,0,0,0
20,19,16,17,19,0,0,0
21,20,17,20,20,0,0,0
22,21,21,21,21,0,0,0
23,22,22,22,22,22,0,0
24,23,23,23,23,23,23,0
25,24,24,24,24,24,24,24
26,25,25,25,25,25,25,25
27,26,26,26,26,26,26,26
28,27,27,27,27,27,27,27
29,28,25,26,27,0,0,0
30,29,26,27,29,0,0,0
31,30,27,30,30,0,0,0
32,31,31,31,31,0,0,0
33,32,32,32,32,32,0,0
34,33,33,33,33,33,33,0
35,34,34,34,34,34,34,34
36,35,35,35,35,35,35,35
37,36,36,36,36,36,36,36
38,37,37,37,37,37,37,37
39,38,35,36,37,0,0,0
40,39,36,37,39,0,0,0
41,40,37,40,40,0,0,0
42,41,41,41,41,0,0,0
43,42,42,42,42,42,0,0
44,43,43,43,43,43,43,0
45,44,44,44,44,44,44,44
46,45,45,45,45,45,45,45
47,46,46,46,46,46,46,46
1,47,47,47,47,47,47,47
2,1,45,46,47,0,0,0
3,2,46,47,2,0,0,0
4,3,47,3,3,0,0,0
5,4,4,4,4,0,0,0
6,5,5,5,5,5,0,0
7,6,6,6,6,6,6,0
0,7,7,7,7,7,7,7
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,8,8,0,0,0,0,0
10,9,9,9,0,0,0,0
11,10,10,10,10,0,0,0
12,11,11,11,11,11,0,0
13,12,12,12,12,12,12,0
14,13,13,13,13,13,13,13
15,14,14,14,14,14,14,14
16,15,15,15,15,15,15,15
0,16,16,16,16,16,16,16
18,0,14,15,16,0,0,0
19,18,15,16,18,0,0,0
20,19,16,19,19,0,0,0
21,20,20,20,20,0,0,0
22,21,21,21,21,21,0,0
23,22,22,22,22,22,22,0
24,23,23,23,23,23,23,23
25,24,24,24,24,24,24,24
26,25,25,25,25,25,25,25
0,26,26,26,26,26,26,26
28,0,24,25,26,0,0,0
29,28,25,26,28,0,0,0
30,29,26,29,29,0,0,0
31,30,30,30,30,0,0,0
32,31,31,31,31,31,0,0
33,32,32,32,32,32,32,0
34,33,33,33,33,33,33,33
35,34,34,34,34,34,34,34
36,35,35,35,35,35,35,35
0,36,36,36,36,36,36,36
38,0,34,35,36,0,0,0
39,38,35,36,38,0,0,0
40,39,36,39,39,0,0,0
41,40,40,40,40,0,0,0
42,41,41,41,41,41,0,0
43,42,42,42,42,42,42,0
44,43,43,43,43,43,43,43
45,44,44,44,44,44,44,44
46,45,45,45,45,45,45,45
0,46,46,46,46,46,46,46
1,0,44,45,46,0,0,0
2,1,45,46,1,0,0,0
3,2,46,2,2,0,0,0
4,3,3,3,3,0,0,0
5,4,4,4,4,4,0,0
6,5,5,5,5,5,5,0
0,6,6,6,6,6,6,6
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,18,15,16,17,12,13,14
-1,18,15,16,19,12,13,14
-1,18,15,20,19,12,13,14
-1,18,21,20,19,12,13,14
-1,18,21,20,19,22,13,14
-1,18,21,20,19,22,23,14
-1,18,21,20,19,22,23,24
-1,18,21,20,19,22,23,24
-1,18,21,20,19,22,23,24
-1,18,21,20,19,22,23,24
-1,28,25,26,27,22,23,24
-1,28,25,26,29,22,23,24
-1,28,25,30,29,22,23,24
-1,28,31,30,29,22,23,24
-1,28,31,30,29,32,23,24
-1,28,31,30,29,32,33,24
-1,28,31,30,29,32,33,34
-1,28,31,30,29,32,33,34
-1,28,31,30,29,32,33,34
-1,28,31,30,29,32,33,34
-1,38,35,36,37,32,33,34
-1,38,35,36,39,32,33,34
-1,38,35,40,39,32,33,34
-1,38,41,40,39,32,33,34
-1,38,41,40,39,42,33,34
-1,38,41,40,39,42,43,34
-1,38,41,40,39,42,43,44
-1,38,41,40,39,42,43,44
-1,38,41,40,39,42,43,44
-1,38,41,40,39,42,43,44
-1,1,45,46,47,42,43,44
-1,1,45,46,2,42,43,44
-1,1,45,3,2,42,43,44
-1,1,4,3,2,42,43,44
-1,1,4,3,2,5,43,44
-1,1,4,3,2,5,6,44
-1,1,4,3,2,5,6,7
