lh_tile_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0
0,0,7,7,7,7,7
7,7,7,7,13,13,13
13,13,13,13,13,13,8
8,8,8,8,8,8,8
8,14,14,14,14,14,14
14,14,14,7,7,7,7
7,7,7,7,7,13,13
13,13,13,13,13,13,13
8,8,8,8,8,8,8
8,8,14,14,14,14,14
14,14,14,14,21,21,21
21,21,21,21,21,21,27
27,27,27,27,27,27,27
27,22,22,22,22,22,22
22,22,22,28,28,28,28
28,28,28,28,28,34,34
34,34,34,34,34,34,34
21,21,21,21,21,21,21
21,21,27,27,27,27,27
27,27,27,27,22,22,22
22,22,22,22,22,22,28
28,28,28,28,28,28,28
28,34,34,34,34,34,34
34,34,34,29,29,29,29
29,29,29,29,29,35,35
35,35,35,35,35,35,35
22,22,22,22,22,22,22
22,22,28,28,28,28,28
28,28,28,28,34,34,34
34,34,34,34,34,34,29
29,29,29,29,29,29,29
29,35,35,35,35,35,35
35,35,35,7,7,7,7
rh_tile_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0
0,0,7,7,7,7,7
7,7,7,7,7,7,7
7,7,7,7,7,7,13
13,13,13,13,13,13,13
13,13,13,13,13,13,13
13,13,13,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
14,14,14,14,14,14,14
14,14,14,14,14,14,14
14,14,14,14,21,21,21
21,21,21,21,21,21,21
21,21,21,21,21,21,21
21,27,27,27,27,27,27
27,27,27,27,27,27,27
27,27,27,27,27,27,27
27,27,27,27,27,27,27
22,22,22,22,22,22,22
22,22,22,22,22,22,22
22,22,22,22,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,28,28,28,28
28,28,28,34,34,34,34
34,34,34,34,34,34,34
34,34,34,34,34,34,34
29,29,29,29,29,29,29
29,29,29,29,29,29,29
29,29,29,29,29,29,29
29,29,29,29,29,29,35
35,35,35,35,35,35,35
35,35,35,35,35,35,35
35,35,35,7,7,7,7
output_tile_incr_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0
0,0,7,7,7,7,7
7,7,7,7,13,13,13
13,13,13,13,13,13,7
7,7,7,7,7,7,7
7,13,13,13,13,13,13
13,13,13,8,8,8,8
8,8,8,8,8,14,14
14,14,14,14,14,14,14
8,8,8,8,8,8,8
8,8,14,14,14,14,14
14,14,14,14,21,21,21
21,21,21,21,21,21,27
27,27,27,27,27,27,27
27,21,21,21,21,21,21
21,21,21,27,27,27,27
27,27,27,27,27,33,33
33,33,33,33,33,33,33
22,22,22,22,22,22,22
22,22,28,28,28,28,28
28,28,28,28,22,22,22
22,22,22,22,22,22,28
28,28,28,28,28,28,28
28,34,34,34,34,34,34
34,34,34,28,28,28,28
28,28,28,28,28,34,34
34,34,34,34,34,34,34
23,23,23,23,23,23,23
23,23,29,29,29,29,29
29,29,29,29,35,35,35
35,35,35,35,35,35,29
29,29,29,29,29,29,29
29,35,35,35,35,35,35
35,35,35,7,7,7,7
rh_tile_col_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,1,2,3,4,5,6
7,8,0,1,2,3,4
5,6,7,8,0,1,2
3,4,5,6,7,8,0
1,2,3,4,5,6,7
8,0,1,2,3,4,5
6,7,8,0,1,2,3
4,5,6,7,8,0,1
2,3,4,5,6,7,8
0,1,2,3,4,5,6
7,8,0,1,2,3,4
5,6,7,8,0,1,2
3,4,5,6,7,8,0
1,2,3,4,5,6,7
8,0,1,2,3,4,5
6,7,8,0,1,2,3
4,5,6,7,8,0,1
2,3,4,5,6,7,8
0,1,2,3,4,5,6
7,8,0,1,2,3,4
5,6,7,8,0,1,2
3,4,5,6,7,8,0
1,2,3,4,5,6,7
8,0,1,2,3,4,5
6,7,8,0,1,2,3
4,5,6,7,8,0,1
2,3,4,5,6,7,8
0,1,2,3,4,5,6
7,8,0,1,2,3,4
5,6,7,8,0,1,2
3,4,5,6,7,8,0
1,2,3,4,5,6,7
8,0,1,2,3,4,5
6,7,8,9,9,9,9
