curr
ID,PE1,PE2,PE3
1,0,0,0
2,1,0,0
3,2,2,0
4,3,3,3
5,4,4,4
6,5,5,5
7,6,6,6
8,7,7,7
9,4,5,6
10,5,6,7
11,6,7,8
12,7,10,9
13,12,11,7
14,13,9,11
15,14,13,0
0,15,15,0
par
ID,PE1,PE2,PE3
0,0,0,0
1,0,0,0
2,1,1,0
3,2,2,2
4,3,3,3
5,4,4,4
6,5,5,5
0,6,6,6
8,3,4,5
0,4,5,6
10,5,6,0
0,6,0,8
12,0,10,6
0,12,8,10
14,0,12,0
0,14,14,0
derv
ID,PE1,PE2,PE3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,4,5,6
-1,4,5,6
-1,4,5,8
-1,4,10,8
-1,12,10,7
-1,12,9,11
-1,14,13,11
-1,14,15,11
