curr
ID,PE1,PE2,PE3,PE4,PE5
24,24,24,24,24,24
7,7,7,7,7,7
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
1,1,1,1,1,1
24,24,24,24,24,24
11,7,7,11,11,11
10,6,6,10,10,10
9,5,5,9,9,9
8,4,4,8,8,8
24,3,3,24,24,24
15,2,2,11,15,15
14,1,1,10,14,14
13,24,24,9,13,13
12,15,15,8,12,12
24,14,14,24,24,24
19,13,13,19,19,19
18,12,12,18,18,18
17,24,24,17,17,17
16,19,0,16,16,16
24,18,0,24,24,24
23,17,23,23,23,23
22,16,22,22,22,22
21,0,21,21,21,21
20,0,20,20,20,20
par
ID,PE1,PE2,PE3,PE4,PE5
7,7,7,7,7,7
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
1,1,1,1,1,1
0,0,0,0,0,0
11,7,7,11,11,11
10,6,6,10,10,10
9,5,5,9,9,9
8,4,4,8,8,8
0,3,3,0,0,0
15,2,2,11,15,15
14,1,1,10,14,14
13,0,0,9,13,13
12,15,15,8,12,12
0,14,14,0,0,0
19,13,13,19,19,19
18,12,12,18,18,18
17,0,0,17,17,17
16,19,23,16,16,16
0,18,0,0,0,0
23,17,0,23,23,23
22,16,22,22,22,22
21,0,21,21,21,21
20,0,20,20,20,20
0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,11,12,13
-1,6,7,11,12,13
-1,6,7,11,12,13
-1,14,15,11,12,13
-1,14,15,11,12,13
-1,14,15,16,17,18
-1,14,15,16,17,18
-1,14,15,16,17,18
-1,19,20,16,17,18
-1,19,20,16,17,18
-1,19,20,21,22,23
-1,19,20,21,22,23
-1,19,20,21,22,23
-1,19,20,21,22,23
-1,19,20,21,22,23
