curr
ID,PE1,PE2,PE3,PE4
1,0,0,0,0
2,1,0,0,0
3,2,2,0,0
4,3,3,3,0
5,4,4,4,4
6,5,5,5,5
7,6,6,6,6
8,7,7,7,7
9,8,5,6,7
10,9,6,7,9
11,10,7,10,10
12,11,11,11,11
13,12,0,0,0
14,13,13,0,0
15,14,14,14,0
16,15,15,15,15
17,16,0,0,0
18,17,17,0,0
19,18,18,18,0
20,19,19,19,19
21,20,0,0,0
22,21,21,0,0
23,22,22,22,0
0,23,23,23,23
par
ID,PE1,PE2,PE3,PE4
0,0,0,0,0
1,0,0,0,0
2,1,1,0,0
3,2,2,2,0
4,3,3,3,3
5,4,4,4,4
6,5,5,5,5
0,6,6,6,6
8,0,4,5,6
9,8,5,6,8
10,9,6,9,9
0,10,10,10,10
12,0,0,0,0
13,12,12,0,0
14,13,13,13,0
0,14,14,14,14
16,0,0,0,0
17,16,16,0,0
18,17,17,17,0
0,18,18,18,18
20,0,0,0,0
21,20,20,0,0
22,21,21,21,0
0,22,22,22,22
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,8,5,6,7
-1,8,5,6,9
-1,8,5,10,9
-1,8,11,10,9
-1,12,11,10,9
-1,12,13,10,9
-1,12,13,14,9
-1,12,13,14,15
-1,16,13,14,15
-1,16,17,14,15
-1,16,17,18,15
-1,16,17,18,19
-1,20,17,18,19
-1,20,21,18,19
-1,20,21,22,19
-1,20,21,22,23
