curr
ID,PE1,PE2,PE3,PE4,PE5
1,0,0,0,0,0
2,1,0,0,0,0
3,2,2,0,0,0
4,3,3,3,0,0
5,4,4,4,4,0
6,5,5,5,5,5
7,6,6,6,6,6
8,7,7,7,7,7
9,8,6,7,0,0
10,9,7,9,0,0
11,10,10,10,0,0
12,11,11,11,11,0
13,12,12,12,12,12
14,13,0,0,0,0
15,14,14,0,0,0
16,15,15,15,0,0
17,16,16,16,16,0
18,17,17,17,17,17
19,18,0,0,0,0
20,19,19,0,0,0
21,20,20,20,0,0
22,21,21,21,21,0
23,22,22,22,22,22
24,23,0,0,0,0
25,24,24,0,0,0
26,25,25,25,0,0
27,26,26,26,26,0
0,27,27,27,27,27
par
ID,PE1,PE2,PE3,PE4,PE5
0,0,0,0,0,0
1,0,0,0,0,0
2,1,1,0,0,0
3,2,2,2,0,0
4,3,3,3,3,0
5,4,4,4,4,4
6,5,5,5,5,5
0,6,6,6,6,6
8,0,5,6,0,0
9,8,6,8,0,0
10,9,9,9,0,0
11,10,10,10,10,0
0,11,11,11,11,11
13,0,0,0,0,0
14,13,13,0,0,0
15,14,14,14,0,0
16,15,15,15,15,0
0,16,16,16,16,16
18,0,0,0,0,0
19,18,18,0,0,0
20,19,19,19,0,0
21,20,20,20,20,0
0,21,21,21,21,21
23,0,0,0,0,0
24,23,23,0,0,0
25,24,24,24,0,0
26,25,25,25,25,0
0,26,26,26,26,26
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,8,6,7,4,5
-1,8,6,9,4,5
-1,8,10,9,4,5
-1,8,10,9,11,5
-1,8,10,9,11,12
-1,13,10,9,11,12
-1,13,14,9,11,12
-1,13,14,15,11,12
-1,13,14,15,16,12
-1,13,14,15,16,17
-1,18,14,15,16,17
-1,18,19,15,16,17
-1,18,19,20,16,17
-1,18,19,20,21,17
-1,18,19,20,21,22
-1,23,19,20,21,22
-1,23,24,20,21,22
-1,23,24,25,21,22
-1,23,24,25,26,22
-1,23,24,25,26,27
