curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
32,32,32,32,32,32,32,32
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
32,32,32,32,32,32,32,32
13,13,13,13,13,13,13,0
12,12,12,12,12,12,12,0
11,11,11,11,11,11,11,0
10,10,10,10,10,10,10,0
9,9,9,9,9,9,9,0
8,8,8,8,8,8,8,0
32,32,32,32,32,32,32,0
19,19,19,19,19,19,0,19
18,18,18,18,18,18,0,18
17,17,17,17,17,17,0,17
16,16,16,16,16,16,0,16
15,15,15,15,15,15,0,15
14,14,14,14,14,14,0,14
32,32,32,32,32,32,0,32
25,25,25,25,25,25,25,0
24,24,24,24,24,24,24,0
23,23,23,23,23,23,23,0
22,22,22,22,22,22,22,0
21,21,21,21,21,21,21,0
20,20,20,20,20,20,20,0
32,32,32,32,32,32,0,0
31,31,31,31,31,31,0,31
30,30,30,30,30,30,0,30
29,29,29,29,29,29,0,29
28,28,28,28,28,28,0,28
27,27,27,27,27,27,0,27
26,26,26,26,26,26,0,26
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0
13,13,13,13,13,13,13,19
12,12,12,12,12,12,12,0
11,11,11,11,11,11,11,0
10,10,10,10,10,10,10,0
9,9,9,9,9,9,9,0
8,8,8,8,8,8,8,0
0,0,0,0,0,0,0,0
19,19,19,19,19,19,25,0
18,18,18,18,18,18,0,18
17,17,17,17,17,17,0,17
16,16,16,16,16,16,0,16
15,15,15,15,15,15,0,15
14,14,14,14,14,14,0,14
0,0,0,0,0,0,0,0
25,25,25,25,25,25,0,31
24,24,24,24,24,24,24,0
23,23,23,23,23,23,23,0
22,22,22,22,22,22,22,0
21,21,21,21,21,21,21,0
20,20,20,20,20,20,20,0
0,0,0,0,0,0,0,0
31,31,31,31,31,31,0,0
30,30,30,30,30,30,0,30
29,29,29,29,29,29,0,29
28,28,28,28,28,28,0,28
27,27,27,27,27,27,0,27
26,26,26,26,26,26,0,26
0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,15,16,17,18,19,20,14
-1,15,16,17,18,19,20,14
-1,15,16,17,18,19,20,14
-1,15,16,17,18,19,20,14
-1,15,16,17,18,19,20,14
-1,15,16,17,18,19,20,14
-1,15,16,17,18,19,20,14
-1,21,22,23,24,25,20,26
-1,21,22,23,24,25,20,26
-1,21,22,23,24,25,20,26
-1,21,22,23,24,25,20,26
-1,21,22,23,24,25,20,26
-1,21,22,23,24,25,20,26
-1,21,22,23,24,25,20,26
-1,27,28,29,30,31,20,26
-1,27,28,29,30,31,20,26
-1,27,28,29,30,31,20,26
-1,27,28,29,30,31,20,26
-1,27,28,29,30,31,20,26
-1,27,28,29,30,31,20,26
-1,27,28,29,30,31,20,26
