curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,3,3,0,0,0,0,0
5,4,4,4,0,0,0,0
6,5,5,5,5,0,0,0
7,6,6,6,6,6,0,0
8,7,7,7,7,7,7,0
9,8,8,8,8,8,8,8
10,9,9,9,9,9,9,9
11,10,10,10,10,10,10,10
12,11,11,11,11,11,11,11
13,12,9,10,11,0,0,0
14,13,10,11,13,0,0,0
15,14,11,14,14,0,0,0
16,15,15,15,15,0,0,0
17,16,16,16,16,16,0,0
18,17,17,17,17,17,17,0
19,18,18,18,18,18,18,18
20,19,19,19,19,19,19,19
21,20,20,20,20,20,20,20
1,21,21,21,21,21,21,21
0,19,20,1,21,0,0,0
0,20,21,0,0,0,0,0
0,21,0,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0
4,3,3,3,0,0,0,0
5,4,4,4,4,0,0,0
6,5,5,5,5,5,0,0
7,6,6,6,6,6,6,0
8,7,7,7,7,7,7,7
9,8,8,8,8,8,8,8
10,9,9,9,9,9,9,9
0,10,10,10,10,10,10,10
12,0,8,9,10,0,0,0
13,12,9,10,12,0,0,0
14,13,10,13,13,0,0,0
15,14,14,14,14,0,0,0
16,15,15,15,15,15,0,0
17,16,16,16,16,16,16,0
18,17,17,17,17,17,17,17
19,18,18,18,18,18,18,18
20,19,19,19,19,19,19,19
0,20,20,20,20,20,20,20
0,18,19,0,20,0,0,0
0,19,20,0,0,0,0,0
0,20,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,12,9,10,11,6,7,8
-1,12,9,10,13,6,7,8
-1,12,9,14,13,6,7,8
-1,12,15,14,13,6,7,8
-1,12,15,14,13,16,7,8
-1,12,15,14,13,16,17,8
-1,12,15,14,13,16,17,18
-1,12,15,14,13,16,17,18
-1,12,15,14,13,16,17,18
-1,12,15,14,13,16,17,18
-1,19,20,1,21,16,17,18
-1,19,20,1,21,16,17,18
-1,19,20,1,21,16,17,18
