curr
ID,PE1,PE2,PE3,PE4,PE5
2,0,0,0,0,0
3,2,0,0,0,0
4,3,3,0,0,0
5,4,4,4,0,0
6,5,5,5,5,0
7,6,6,6,6,6
8,7,7,7,7,7
9,8,7,0,0,0
10,9,9,0,0,0
11,10,10,10,0,0
12,11,11,11,11,0
13,12,12,12,12,12
1,13,13,13,13,13
0,1,13,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5
0,0,0,0,0,0
2,0,0,0,0,0
3,2,2,0,0,0
4,3,3,3,0,0
5,4,4,4,4,0
6,5,5,5,5,5
0,6,6,6,6,6
8,0,6,0,0,0
9,8,8,0,0,0
10,9,9,9,0,0
11,10,10,10,10,0
12,11,11,11,11,11
0,12,12,12,12,12
0,0,12,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,8,7,4,5,6
-1,8,9,4,5,6
-1,8,9,10,5,6
-1,8,9,10,11,6
-1,8,9,10,11,12
-1,8,9,10,11,12
-1,1,13,10,11,12
