curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
18,18,18,18,18,18,18
9,9,9,9,9,9,9
8,8,8,8,8,8,8
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
18,18,18,18,18,18,18
17,9,9,17,17,17,17
16,8,8,16,16,16,16
15,7,7,15,15,15,15
14,6,6,14,14,14,14
13,5,5,13,13,13,13
12,4,4,12,12,12,12
11,3,3,11,11,11,11
10,2,2,10,10,10,10
18,18,18,18,18,18,0
1,17,17,17,17,1,0
0,16,16,16,16,0,0
0,15,15,15,15,0,0
0,14,14,14,14,0,0
0,13,13,13,13,0,0
0,12,12,12,12,0,0
0,11,11,11,11,0,0
0,10,10,10,10,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
9,9,9,9,9,9,9
8,8,8,8,8,8,8
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
0,0,0,0,0,0,0
17,9,9,17,17,17,17
16,8,8,16,16,16,16
15,7,7,15,15,15,15
14,6,6,14,14,14,14
13,5,5,13,13,13,13
12,4,4,12,12,12,12
11,3,3,11,11,11,11
10,2,2,10,10,10,10
0,0,0,0,0,0,0
1,17,17,17,17,1,0
0,16,16,16,16,0,0
0,15,15,15,15,0,0
0,14,14,14,14,0,0
0,13,13,13,13,0,0
0,12,12,12,12,0,0
0,11,11,11,11,0,0
0,10,10,10,10,0,0
0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,2,3,4,5,6,7
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,8,9,10,11,12,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
-1,14,15,16,17,1,13
