curr
ID,PE1,PE2
2,0,0
3,2,0
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,8
10,9,4
11,10,5
12,11,6
13,12,7
14,13,8
15,14,10
1,15,11
0,11,12
0,12,13
0,13,14
0,14,15
0,15,5
0,12,6
0,13,7
0,14,8
0,15,6
0,13,7
0,14,8
0,15,7
0,14,8
0,15,1
0,8,15
par
ID,PE1,PE2
0,0,0
2,0,0
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
0,7,7
9,0,3
10,9,4
11,10,5
12,11,6
13,12,7
14,13,9
0,14,10
0,10,11
0,11,12
0,12,13
0,13,14
0,14,4
0,11,5
0,12,6
0,13,7
0,14,5
0,12,6
0,13,7
0,14,6
0,13,7
0,14,0
0,7,14
derv
ID,PE1,PE2
-1,2,3
-1,2,3
-1,2,3
-1,2,3
-1,2,3
-1,2,3
-1,2,3
-1,2,3
-1,9,4
-1,9,4
-1,9,4
-1,9,4
-1,9,4
-1,9,10
-1,9,10
-1,11,10
-1,11,10
-1,11,10
-1,11,10
-1,11,5
-1,12,5
-1,12,5
-1,12,5
-1,12,6
-1,13,6
-1,13,6
-1,13,7
-1,14,7
-1,14,1
-1,8,15
