lh_tile_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,8,8,16,16,24
24,1,1,9,9,17,17
25,25,2,2,10,10,18
18,26,26,3,3,11,11
19,19,27,27,0,0,8
8,16,16,24,24,1,1
9,9,17,17,25,25,2
2,10,10,18,18,26,26
3,3,11,11,19,19,27
27,0,0,8,8,16,16
24,24,1,1,9,9,17
17,25,25,2,2,10,10
18,18,26,26,3,3,11
11,19,19,27,27,0,0
8,8,16,16,24,24,1
1,9,9,17,17,25,25
2,2,10,10,18,18,26
26,3,3,11,11,19,19
27,27,36,36,44,44,52
52,60,60,37,37,45,45
53,53,61,61,38,38,46
46,54,54,62,62,39,39
47,47,55,55,63,63,36
36,44,44,52,52,60,60
37,37,45,45,53,53,61
61,38,38,46,46,54,54
62,62,39,39,47,47,55
55,63,63,36,36,44,44
52,52,60,60,37,37,45
45,53,53,61,61,38,38
46,46,54,54,62,62,39
39,47,47,55,55,63,63
36,36,44,44,52,52,60
60,37,37,45,45,53,53
61,61,38,38,46,46,54
54,62,62,39,39,47,47
55,55,63,63,9,9,9
rh_tile_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0
0,8,8,8,8,8,8
8,8,16,16,16,16,16
16,16,16,24,24,24,24
24,24,24,24,1,1,1
1,1,1,1,1,9,9
9,9,9,9,9,9,17
17,17,17,17,17,17,17
25,25,25,25,25,25,25
25,2,2,2,2,2,2
2,2,10,10,10,10,10
10,10,10,18,18,18,18
18,18,18,18,26,26,26
26,26,26,26,26,3,3
3,3,3,3,3,3,11
11,11,11,11,11,11,11
19,19,19,19,19,19,19
19,27,27,27,27,27,27
27,27,36,36,36,36,36
36,36,36,44,44,44,44
44,44,44,44,52,52,52
52,52,52,52,52,60,60
60,60,60,60,60,60,37
37,37,37,37,37,37,37
45,45,45,45,45,45,45
45,53,53,53,53,53,53
53,53,61,61,61,61,61
61,61,61,38,38,38,38
38,38,38,38,46,46,46
46,46,46,46,46,54,54
54,54,54,54,54,54,62
62,62,62,62,62,62,62
39,39,39,39,39,39,39
39,47,47,47,47,47,47
47,47,55,55,55,55,55
55,55,55,63,63,63,63
63,63,63,63,9,9,9
output_tile_incr_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,8,8,16,16,24
24,0,0,8,8,16,16
24,24,0,0,8,8,16
16,24,24,0,0,8,8
16,16,24,24,1,1,9
9,17,17,25,25,1,1
9,9,17,17,25,25,1
1,9,9,17,17,25,25
1,1,9,9,17,17,25
25,2,2,10,10,18,18
26,26,2,2,10,10,18
18,26,26,2,2,10,10
18,18,26,26,2,2,10
10,18,18,26,26,3,3
11,11,19,19,27,27,3
3,11,11,19,19,27,27
3,3,11,11,19,19,27
27,3,3,11,11,19,19
27,27,36,36,44,44,52
52,60,60,36,36,44,44
52,52,60,60,36,36,44
44,52,52,60,60,36,36
44,44,52,52,60,60,37
37,45,45,53,53,61,61
37,37,45,45,53,53,61
61,37,37,45,45,53,53
61,61,37,37,45,45,53
53,61,61,38,38,46,46
54,54,62,62,38,38,46
46,54,54,62,62,38,38
46,46,54,54,62,62,38
38,46,46,54,54,62,62
39,39,47,47,55,55,63
63,39,39,47,47,55,55
63,63,39,39,47,47,55
55,63,63,39,39,47,47
55,55,63,63,9,9,9
rh_tile_col_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,2,2,2
