curr
ID,PE1,PE2,PE3
2,0,0,0
3,2,0,0
4,3,3,0
5,4,4,4
6,5,5,5
7,6,6,6
8,7,7,7
9,8,8,8
10,9,5,6
11,10,6,7
12,11,7,8
13,12,8,10
14,13,11,11
15,14,12,12
1,15,13,13
0,12,14,14
0,13,15,15
0,14,13,7
0,15,14,8
0,14,15,1
0,15,8,15
par
ID,PE1,PE2,PE3
0,0,0,0
2,0,0,0
3,2,2,0
4,3,3,3
5,4,4,4
6,5,5,5
7,6,6,6
0,7,7,7
9,0,4,5
10,9,5,6
11,10,6,7
12,11,7,9
13,12,10,10
14,13,11,11
0,14,12,12
0,11,13,13
0,12,14,14
0,13,12,6
0,14,13,7
0,13,14,0
0,14,7,14
derv
ID,PE1,PE2,PE3
-1,2,3,4
-1,2,3,4
-1,2,3,4
-1,2,3,4
-1,2,3,4
-1,2,3,4
-1,2,3,4
-1,2,3,4
-1,9,5,6
-1,9,5,6
-1,9,5,6
-1,9,5,10
-1,9,11,10
-1,9,11,10
-1,9,11,10
-1,12,11,10
-1,12,11,10
-1,12,13,7
-1,12,13,7
-1,14,13,1
-1,14,8,15
