curr
ID,PE1,PE2,PE3,PE4
16,16,16,16,16
8,8,8,8,8
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
16,16,16,16,16
15,8,8,8,15
14,7,7,7,14
13,6,6,6,13
12,5,5,5,12
11,4,4,4,11
10,3,3,3,10
9,2,2,2,9
16,16,16,16,16
1,15,15,15,15
0,14,14,14,14
0,13,13,13,13
0,12,12,12,12
0,11,11,11,11
0,10,10,10,10
0,9,9,9,9
0,16,16,16,0
0,15,15,1,0
0,14,14,0,0
0,13,13,0,0
0,12,12,0,0
0,11,11,0,0
0,10,10,0,0
0,9,9,0,0
par
ID,PE1,PE2,PE3,PE4
8,8,8,8,8
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
0,0,0,0,0
15,8,8,8,15
14,7,7,7,14
13,6,6,6,13
12,5,5,5,12
11,4,4,4,11
10,3,3,3,10
9,2,2,2,9
0,0,0,0,0
1,15,15,15,15
0,14,14,14,14
0,13,13,13,13
0,12,12,12,12
0,11,11,11,11
0,10,10,10,10
0,9,9,9,9
0,0,0,0,0
0,15,15,1,0
0,14,14,0,0
0,13,13,0,0
0,12,12,0,0
0,11,11,0,0
0,10,10,0,0
0,9,9,0,0
0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,6,7,8,9
-1,6,7,8,9
-1,6,7,8,9
-1,6,7,8,9
-1,6,7,8,9
-1,6,7,8,9
-1,6,7,8,9
-1,6,7,8,9
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,14,15,1,13
-1,14,15,1,13
-1,14,15,1,13
-1,14,15,1,13
-1,14,15,1,13
-1,14,15,1,13
-1,14,15,1,13
-1,14,15,1,13
