curr
ID,PE1,PE2,PE3,PE4
2,0,0,0,0
3,2,0,0,0
4,3,3,0,0
5,4,4,4,0
6,5,5,5,5
7,6,6,6,6
8,7,7,7,7
9,8,8,8,8
10,9,6,7,8
11,10,7,8,10
12,11,8,11,11
13,12,12,12,12
14,13,13,13,13
15,14,14,14,14
1,15,15,15,15
0,13,14,1,15
0,14,15,0,0
0,15,0,0,0
par
ID,PE1,PE2,PE3,PE4
0,0,0,0,0
2,0,0,0,0
3,2,2,0,0
4,3,3,3,0
5,4,4,4,4
6,5,5,5,5
7,6,6,6,6
0,7,7,7,7
9,0,5,6,7
10,9,6,7,9
11,10,7,10,10
12,11,11,11,11
13,12,12,12,12
14,13,13,13,13
0,14,14,14,14
0,12,13,0,14
0,13,14,0,0
0,14,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,2,3,4,5
-1,9,6,7,8
-1,9,6,7,10
-1,9,6,11,10
-1,9,12,11,10
-1,9,12,11,10
-1,9,12,11,10
-1,9,12,11,10
-1,13,14,1,15
-1,13,14,1,15
-1,13,14,1,15
