curr
ID,PE1,PE2,PE3,PE4,PE5
2,0,0,0,0,0
3,2,0,0,0,0
4,3,3,0,0,0
5,4,4,4,0,0
6,5,5,5,5,0
7,6,6,6,6,6
8,7,7,7,7,7
9,8,8,8,8,8
10,9,7,8,0,0
11,10,8,10,0,0
12,11,11,11,0,0
13,12,12,12,12,0
14,13,13,13,13,13
15,14,14,14,14,14
1,15,15,15,15,15
0,14,1,15,0,0
0,15,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5
0,0,0,0,0,0
2,0,0,0,0,0
3,2,2,0,0,0
4,3,3,3,0,0
5,4,4,4,4,0
6,5,5,5,5,5
7,6,6,6,6,6
0,7,7,7,7,7
9,0,6,7,0,0
10,9,7,9,0,0
11,10,10,10,0,0
12,11,11,11,11,0
13,12,12,12,12,12
14,13,13,13,13,13
0,14,14,14,14,14
0,13,0,14,0,0
0,14,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,2,3,4,5,6
-1,9,7,8,5,6
-1,9,7,10,5,6
-1,9,11,10,5,6
-1,9,11,10,12,6
-1,9,11,10,12,13
-1,9,11,10,12,13
-1,9,11,10,12,13
-1,14,1,15,12,13
-1,14,1,15,12,13
