curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
16,16,16,16,16,16,16,16,16
8,8,8,8,8,8,8,8,0
7,7,7,7,7,7,7,7,0
6,6,6,6,6,6,6,6,0
5,5,5,5,5,5,5,5,0
4,4,4,4,4,4,4,4,0
3,3,3,3,3,3,3,3,0
2,2,2,2,2,2,2,2,0
16,16,16,16,16,16,16,16,0
15,15,15,15,15,15,15,0,15
14,14,14,14,14,14,14,0,14
13,13,13,13,13,13,13,0,13
12,12,12,12,12,12,12,0,12
11,11,11,11,11,11,11,0,11
10,10,10,10,10,10,10,0,10
9,9,9,9,9,9,9,0,9
16,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
8,8,8,8,8,8,8,8,15
7,7,7,7,7,7,7,7,0
6,6,6,6,6,6,6,6,0
5,5,5,5,5,5,5,5,0
4,4,4,4,4,4,4,4,0
3,3,3,3,3,3,3,3,0
2,2,2,2,2,2,2,2,0
0,0,0,0,0,0,0,0,0
15,15,15,15,15,15,15,1,0
14,14,14,14,14,14,14,0,14
13,13,13,13,13,13,13,0,13
12,12,12,12,12,12,12,0,12
11,11,11,11,11,11,11,0,11
10,10,10,10,10,10,10,0,10
9,9,9,9,9,9,9,0,9
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,2,3,4,5,6,7,8,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
-1,10,11,12,13,14,15,1,9
