curr
ID,PE1
13,13
3,3
2,2
1,1
13,13
6,3
5,2
4,1
13,13
9,3
8,2
7,1
13,13
12,6
11,5
10,4
0,13
0,6
0,5
0,4
0,13
0,6
0,5
0,4
0,13
0,9
0,8
0,7
0,13
0,9
0,8
0,7
0,13
0,9
0,8
0,7
0,13
0,12
0,11
0,10
0,13
0,12
0,11
0,10
0,13
0,12
0,11
0,10
par
ID,PE1
3,3
2,2
1,1
0,0
6,3
5,2
4,1
0,0
9,3
8,2
7,1
0,0
12,6
11,5
10,4
0,0
0,6
0,5
0,4
0,0
0,6
0,5
0,4
0,0
0,9
0,8
0,7
0,0
0,9
0,8
0,7
0,0
0,9
0,8
0,7
0,0
0,12
0,11
0,10
0,0
0,12
0,11
0,10
0,0
0,12
0,11
0,10
0,0
derv
ID,PE1
-1,1
-1,1
-1,1
-1,1
-1,2
-1,2
-1,2
-1,2
-1,3
-1,3
-1,3
-1,3
-1,4
-1,4
-1,4
-1,4
-1,5
-1,5
-1,5
-1,5
-1,6
-1,6
-1,6
-1,6
-1,7
-1,7
-1,7
-1,7
-1,8
-1,8
-1,8
-1,8
-1,9
-1,9
-1,9
-1,9
-1,10
-1,10
-1,10
-1,10
-1,11
-1,11
-1,11
-1,11
-1,12
-1,12
-1,12
-1,12
