curr
ID,PE1,PE2
13,13,13
3,3,3
2,2,2
1,1,1
13,13,13
6,3,6
5,2,5
4,1,4
13,13,13
9,6,6
8,5,5
7,4,4
13,13,13
12,9,9
11,8,8
10,7,7
0,13,13
0,9,12
0,8,11
0,7,10
0,13,13
0,12,12
0,11,11
0,10,10
par
ID,PE1,PE2
3,3,3
2,2,2
1,1,1
0,0,0
6,3,6
5,2,5
4,1,4
0,0,0
9,6,6
8,5,5
7,4,4
0,0,0
12,9,9
11,8,8
10,7,7
0,0,0
0,9,12
0,8,11
0,7,10
0,0,0
0,12,12
0,11,11
0,10,10
0,0,0
derv
ID,PE1,PE2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,5,6
-1,5,6
-1,5,6
-1,5,6
-1,7,8
-1,7,8
-1,7,8
-1,7,8
-1,9,10
-1,9,10
-1,9,10
-1,9,10
-1,11,12
-1,11,12
-1,11,12
-1,11,12
