curr
ID,PE1,PE2,PE3,PE4
13,13,13,13,13
3,3,3,3,0
2,2,2,2,0
1,1,1,1,0
13,13,13,13,0
6,6,6,0,6
5,5,5,0,5
4,4,4,0,4
13,13,13,0,13
9,9,9,9,0
8,8,8,8,0
7,7,7,7,0
13,13,13,0,0
12,12,12,0,12
11,11,11,0,11
10,10,10,0,10
par
ID,PE1,PE2,PE3,PE4
3,3,3,3,6
2,2,2,2,0
1,1,1,1,0
0,0,0,0,0
6,6,6,9,0
5,5,5,0,5
4,4,4,0,4
0,0,0,0,0
9,9,9,0,12
8,8,8,8,0
7,7,7,7,0
0,0,0,0,0
12,12,12,0,0
11,11,11,0,11
10,10,10,0,10
0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,6,7,4
-1,5,6,7,4
-1,5,6,7,4
-1,5,6,7,4
-1,8,9,7,10
-1,8,9,7,10
-1,8,9,7,10
-1,8,9,7,10
-1,11,12,7,10
-1,11,12,7,10
-1,11,12,7,10
-1,11,12,7,10
