curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
13,13,13,13,13,13,13,13,13
3,3,3,3,0,0,0,0,0
2,2,2,2,0,0,0,0,0
1,1,1,1,0,0,0,0,0
13,13,13,13,0,0,0,0,0
6,0,0,0,6,6,6,0,0
5,0,0,0,5,5,5,0,0
4,0,0,0,4,4,4,0,0
13,0,0,0,13,0,0,0,0
9,9,0,0,0,0,0,9,9
8,8,0,0,0,0,0,8,8
7,7,0,0,0,0,0,7,7
13,0,0,0,0,0,0,0,0
12,0,12,12,12,0,0,0,0
11,0,11,11,11,0,0,0,0
10,0,10,10,10,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
3,3,3,3,6,6,6,9,9
2,2,2,2,0,0,0,0,0
1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
6,9,12,12,0,0,0,0,0
5,0,0,0,5,5,5,0,0
4,0,0,0,4,4,4,0,0
0,0,0,0,0,0,0,0,0
9,0,0,0,12,0,0,0,0
8,8,0,0,0,0,0,8,8
7,7,0,0,0,0,0,7,7
0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
11,0,11,11,11,0,0,0,0
10,0,10,10,10,0,0,0,0
0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,9,10,11,4,5,6,7,8
-1,9,10,11,4,5,6,7,8
-1,9,10,11,4,5,6,7,8
-1,9,10,11,4,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,5,6,7,8
-1,9,10,11,12,5,6,7,8
