curr
ID,PE1
1,0
2,1
3,2
4,3
5,4
6,5
7,6
0,7
0,2
0,3
0,4
0,5
0,6
0,7
0,3
0,4
0,5
0,6
0,7
0,4
0,5
0,6
0,7
0,5
0,6
0,7
0,6
0,7
0,7
par
ID,PE1
0,0
1,0
2,1
3,2
4,3
5,4
6,5
0,6
0,1
0,2
0,3
0,4
0,5
0,6
0,2
0,3
0,4
0,5
0,6
0,3
0,4
0,5
0,6
0,4
0,5
0,6
0,5
0,6
0,6
derv
ID,PE1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,3
-1,3
-1,3
-1,3
-1,3
-1,4
-1,4
-1,4
-1,4
-1,5
-1,5
-1,5
-1,6
-1,6
-1,7
