curr
ID,PE1,PE2
1,0,0
2,1,0
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,8
10,9,9
11,10,10
12,11,11
13,12,12
14,13,13
15,14,14
0,15,15
0,3,4
0,4,5
0,5,6
0,6,13
0,13,10
0,10,7
0,7,14
0,14,11
0,11,8
0,8,15
0,15,12
0,12,9
0,9,5
0,6,6
0,13,13
0,10,10
0,7,7
0,14,14
0,11,11
0,8,8
0,15,15
0,12,12
0,9,9
0,7,10
0,8,11
0,9,12
0,13,8
0,14,9
0,15,11
0,14,12
0,15,9
0,12,15
par
ID,PE1,PE2
0,0,0
1,0,0
2,1,1
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
6,8,8
10,6,6
11,10,10
6,11,11
13,6,6
14,13,13
0,14,14
0,2,3
0,3,4
0,4,5
0,5,6
0,6,6
0,6,6
0,6,13
0,13,10
0,10,7
0,7,14
0,14,11
0,11,8
0,8,4
0,5,5
0,6,6
0,6,6
0,6,6
0,13,13
0,10,10
0,7,7
0,14,14
0,11,11
0,8,8
0,6,6
0,7,10
0,8,11
0,6,7
0,13,8
0,14,10
0,13,11
0,14,8
0,11,14
derv
ID,PE1,PE2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,5
-1,6,5
-1,6,5
-1,6,5
-1,6,5
-1,6,5
-1,6,5
-1,6,5
-1,6,5
-1,6,5
-1,6,5
-1,7,10
-1,7,10
-1,7,10
-1,13,8
-1,13,8
-1,13,11
-1,14,11
-1,14,9
-1,12,15
