curr
ID,PE1,PE2,PE3
16,16,16,16
9,9,9,9
8,8,8,8
7,7,7,7
16,16,16,16
12,12,12,12
11,11,11,11
10,10,10,10
16,16,16,16
15,15,15,15
14,14,14,14
13,13,13,13
6,6,6,6
5,5,5,5
4,4,4,4
3,3,3,3
2,2,2,2
1,1,1,1
0,16,16,16
0,9,9,9
0,12,12,12
0,15,15,15
0,8,8,8
0,11,11,11
0,14,14,14
0,7,7,7
0,10,10,10
0,13,13,13
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,16,16,16
0,16,16,16
0,1,1,1
0,16,16,16
0,9,9,9
0,8,8,8
0,7,7,7
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,1,1,1
0,16,16,16
0,12,12,12
0,11,11,11
0,10,10,10
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,1,1,1
0,16,16,16
0,15,15,15
0,14,14,14
0,13,13,13
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,1,1,1
par
ID,PE1,PE2,PE3
9,9,9,9
8,8,8,8
7,7,7,7
6,6,6,6
12,12,12,12
11,11,11,11
10,10,10,10
6,6,6,6
15,15,15,15
14,14,14,14
13,13,13,13
6,6,6,6
5,5,5,5
4,4,4,4
3,3,3,3
2,2,2,2
1,1,1,1
0,0,0,0
0,9,9,9
0,8,8,8
0,11,11,11
0,14,14,14
0,7,7,7
0,10,10,10
0,13,13,13
0,6,6,6
0,6,6,6
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,1,1,1
0,12,12,12
0,15,15,15
0,0,0,0
0,9,9,9
0,8,8,8
0,7,7,7
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,1,1,1
0,0,0,0
0,12,12,12
0,11,11,11
0,10,10,10
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,1,1,1
0,0,0,0
0,15,15,15
0,14,14,14
0,13,13,13
0,6,6,6
0,5,5,5
0,4,4,4
0,3,3,3
0,2,2,2
0,1,1,1
0,0,0,0
derv
ID,PE1,PE2,PE3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,10,11,12
-1,13,14,15
-1,13,14,15
-1,13,14,15
-1,13,14,15
-1,13,14,15
-1,13,14,15
-1,13,14,15
-1,13,14,15
-1,13,14,15
-1,13,14,15
