curr
ID,PE1,PE2,PE3
1,0,0,0
2,1,0,0
3,2,2,0
4,3,3,3
5,4,4,4
6,5,5,5
7,6,6,6
8,7,7,7
9,8,8,8
10,9,9,9
11,10,10,10
12,11,11,11
13,12,12,12
14,13,13,13
15,14,14,14
0,15,15,15
0,4,5,6
0,5,6,13
0,6,13,10
0,13,10,7
0,10,7,14
0,7,14,11
0,14,11,8
0,11,8,15
0,8,15,12
0,15,12,9
0,12,9,7
0,9,10,8
0,13,11,9
0,14,12,8
0,15,11,9
0,14,12,9
0,15,12,15
par
ID,PE1,PE2,PE3
0,0,0,0
1,0,0,0
2,1,1,0
3,2,2,2
4,3,3,3
5,4,4,4
6,5,5,5
7,6,6,6
8,7,7,7
6,8,8,8
10,6,6,6
11,10,10,10
6,11,11,11
13,6,6,6
14,13,13,13
0,14,14,14
0,3,4,5
0,4,5,6
0,5,6,6
0,6,6,6
0,6,6,13
0,6,13,10
0,13,10,7
0,10,7,14
0,7,14,11
0,14,11,8
0,11,8,6
0,8,6,7
0,6,10,8
0,13,11,7
0,14,10,8
0,13,11,8
0,14,11,14
derv
ID,PE1,PE2,PE3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,7
-1,4,10,7
-1,13,10,7
-1,13,10,8
-1,13,11,8
-1,14,11,9
-1,14,12,15
