curr
ID,PE1,PE2,PE3,PE4
1,0,0,0,0
2,1,0,0,0
3,2,2,0,0
4,3,3,3,0
5,4,4,4,4
6,5,5,5,5
7,6,6,6,6
8,7,7,7,7
9,8,8,8,8
10,9,9,9,9
11,10,10,10,10
12,11,11,11,11
13,12,12,12,12
14,13,13,13,13
15,14,14,14,14
0,15,15,15,15
0,5,6,7,10
0,6,13,8,11
0,13,10,9,12
0,10,7,13,8
0,7,14,14,9
0,14,11,15,11
0,11,8,14,12
0,8,15,15,9
0,15,12,12,15
0,12,9,0,0
0,9,0,0,0
par
ID,PE1,PE2,PE3,PE4
0,0,0,0,0
1,0,0,0,0
2,1,1,0,0
3,2,2,2,0
4,3,3,3,3
5,4,4,4,4
6,5,5,5,5
7,6,6,6,6
8,7,7,7,7
6,8,8,8,8
10,6,6,6,6
11,10,10,10,10
6,11,11,11,11
13,6,6,6,6
14,13,13,13,13
0,14,14,14,14
0,4,5,6,6
0,5,6,7,10
0,6,6,8,11
0,6,6,6,7
0,6,13,13,8
0,13,10,14,10
0,10,7,13,11
0,7,14,14,8
0,14,11,11,14
0,11,8,0,0
0,8,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,6,7,10
-1,5,6,7,10
-1,5,6,7,10
-1,5,6,13,8
-1,5,6,13,8
-1,5,6,13,11
-1,5,6,14,11
-1,5,6,14,9
-1,5,6,12,15
-1,5,6,12,15
-1,5,6,12,15
