curr
ID,PE1,PE2,PE3,PE4,PE5
16,16,16,16,16,16
9,9,9,9,9,9
8,8,8,8,8,8
7,7,7,7,7,7
16,16,16,16,16,16
12,12,12,12,12,12
11,11,11,11,11,11
10,10,10,10,10,10
16,16,16,16,16,16
15,15,15,15,15,15
14,14,14,14,14,14
13,13,13,13,13,13
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
1,1,1,1,1,1
0,16,16,16,16,16
0,9,9,9,9,12
0,12,8,8,8,11
0,15,7,7,7,10
0,8,6,6,6,6
0,11,5,5,5,5
0,14,4,4,4,4
0,7,3,3,3,3
0,10,2,2,2,2
0,13,1,1,1,1
0,6,16,16,16,16
0,5,12,12,15,15
0,4,11,11,14,14
0,3,10,10,13,13
0,2,6,6,6,6
0,16,5,5,5,5
0,16,4,4,4,4
0,1,3,3,3,3
0,16,2,2,2,2
0,15,1,1,1,1
0,14,0,0,0,0
0,13,0,0,0,0
0,6,0,0,0,0
0,5,0,0,0,0
0,4,0,0,0,0
0,3,0,0,0,0
0,2,0,0,0,0
0,1,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5
9,9,9,9,9,9
8,8,8,8,8,8
7,7,7,7,7,7
6,6,6,6,6,6
12,12,12,12,12,12
11,11,11,11,11,11
10,10,10,10,10,10
6,6,6,6,6,6
15,15,15,15,15,15
14,14,14,14,14,14
13,13,13,13,13,13
6,6,6,6,6,6
5,5,5,5,5,5
4,4,4,4,4,4
3,3,3,3,3,3
2,2,2,2,2,2
1,1,1,1,1,1
0,0,0,0,0,0
0,9,9,9,9,12
0,8,8,8,8,11
0,11,7,7,7,10
0,14,6,6,6,6
0,7,5,5,5,5
0,10,4,4,4,4
0,13,3,3,3,3
0,6,2,2,2,2
0,6,1,1,1,1
0,6,0,0,0,0
0,5,12,12,15,15
0,4,11,11,14,14
0,3,10,10,13,13
0,2,6,6,6,6
0,1,5,5,5,5
0,12,4,4,4,4
0,15,3,3,3,3
0,0,2,2,2,2
0,15,1,1,1,1
0,14,0,0,0,0
0,13,0,0,0,0
0,6,0,0,0,0
0,5,0,0,0,0
0,4,0,0,0,0
0,3,0,0,0,0
0,2,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,7,8,9,10
-1,6,11,12,13,14
-1,6,11,12,13,14
-1,6,11,12,13,14
-1,6,11,12,13,14
-1,6,11,12,13,14
-1,6,11,12,13,14
-1,6,11,12,13,14
-1,6,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
-1,15,11,12,13,14
