curr
ID,PE1,PE2,PE3,PE4,PE5
1,0,0,0,0,0
2,1,0,0,0,0
3,2,2,0,0,0
4,3,3,3,0,0
5,4,4,4,4,0
6,5,5,5,5,5
7,6,6,6,6,6
8,7,7,7,7,7
9,8,8,8,8,8
10,9,9,9,9,9
11,10,10,10,10,10
12,11,11,11,11,11
13,12,12,12,12,12
14,13,13,13,13,13
15,14,14,14,14,14
0,15,15,15,15,15
0,6,7,10,13,8
0,13,8,11,14,9
0,10,9,12,15,11
0,7,14,9,12,12
0,14,15,15,0,0
0,11,0,0,0,0
0,8,0,0,0,0
0,15,0,0,0,0
0,12,0,0,0,0
0,9,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5
0,0,0,0,0,0
1,0,0,0,0,0
2,1,1,0,0,0
3,2,2,2,0,0
4,3,3,3,3,0
5,4,4,4,4,4
6,5,5,5,5,5
7,6,6,6,6,6
8,7,7,7,7,7
6,8,8,8,8,8
10,6,6,6,6,6
11,10,10,10,10,10
6,11,11,11,11,11
13,6,6,6,6,6
14,13,13,13,13,13
0,14,14,14,14,14
0,5,6,6,6,7
0,6,7,10,13,8
0,6,8,11,14,10
0,6,13,8,11,11
0,13,14,14,0,0
0,10,0,0,0,0
0,7,0,0,0,0
0,14,0,0,0,0
0,11,0,0,0,0
0,8,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,1,2,3,4,5
-1,6,7,10,13,8
-1,6,7,10,13,8
-1,6,7,10,13,11
-1,6,14,9,12,11
-1,6,14,15,12,11
-1,6,14,15,12,11
-1,6,14,15,12,11
-1,6,14,15,12,11
-1,6,14,15,12,11
-1,6,14,15,12,11
