curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
16,16,16,16,16,16,16,16,16,16
9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,7
16,16,16,16,16,16,16,0,0,0
12,12,12,12,12,12,12,0,0,0
11,11,11,11,11,11,11,0,0,0
10,10,10,10,10,10,10,0,0,0
16,16,16,16,16,16,16,0,0,0
15,15,15,15,15,15,15,0,0,0
14,14,14,14,14,14,14,0,0,0
13,13,13,13,13,13,13,0,0,0
6,6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1
0,16,16,16,16,16,16,0,0,0
0,12,12,12,15,15,15,0,0,0
0,11,11,11,14,14,14,0,0,0
0,10,10,10,13,13,13,0,0,0
0,6,6,6,6,6,6,0,0,0
0,5,5,5,5,5,5,0,0,0
0,4,4,4,4,4,4,0,0,0
0,3,3,3,3,3,3,0,0,0
0,2,2,2,2,2,2,0,0,0
0,1,1,1,1,1,1,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6,6,6
12,12,12,12,12,12,12,0,0,0
11,11,11,11,11,11,11,0,0,0
10,10,10,10,10,10,10,0,0,0
6,6,6,6,6,6,6,0,0,0
15,15,15,15,15,15,15,0,0,0
14,14,14,14,14,14,14,0,0,0
13,13,13,13,13,13,13,0,0,0
6,6,6,6,6,6,6,0,0,0
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0
0,12,12,12,15,15,15,0,0,0
0,11,11,11,14,14,14,0,0,0
0,10,10,10,13,13,13,0,0,0
0,6,6,6,6,6,6,0,0,0
0,5,5,5,5,5,5,0,0,0
0,4,4,4,4,4,4,0,0,0
0,3,3,3,3,3,3,0,0,0
0,2,2,2,2,2,2,0,0,0
0,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
-1,10,11,12,13,14,15,7,8,9
