curr
ID,PE1
20,20
7,7
6,6
5,5
4,4
3,3
2,2
1,1
20,20
10,7
9,6
8,5
20,4
13,3
12,2
11,1
20,20
16,7
15,6
14,5
20,4
19,3
18,2
17,1
0,20
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,20
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,20
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,20
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,20
0,10
0,9
0,8
0,20
0,10
0,9
0,8
0,20
0,10
0,9
0,8
0,20
0,13
0,12
0,11
0,20
0,13
0,12
0,11
0,20
0,13
0,12
0,11
0,20
0,16
0,15
0,14
0,20
0,16
0,15
0,14
0,20
0,16
0,15
0,14
0,20
0,19
0,18
0,17
0,20
0,19
0,18
0,17
0,20
0,19
0,18
0,17
par
ID,PE1
7,7
6,6
5,5
4,4
3,3
2,2
1,1
0,0
10,7
9,6
8,5
0,4
13,3
12,2
11,1
0,0
16,7
15,6
14,5
0,4
19,3
18,2
17,1
0,0
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,0
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,0
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,0
0,7
0,6
0,5
0,4
0,3
0,2
0,1
0,0
0,10
0,9
0,8
0,0
0,10
0,9
0,8
0,0
0,10
0,9
0,8
0,0
0,13
0,12
0,11
0,0
0,13
0,12
0,11
0,0
0,13
0,12
0,11
0,0
0,16
0,15
0,14
0,0
0,16
0,15
0,14
0,0
0,16
0,15
0,14
0,0
0,19
0,18
0,17
0,0
0,19
0,18
0,17
0,0
0,19
0,18
0,17
0,0
derv
ID,PE1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,4
-1,4
-1,4
-1,4
-1,4
-1,4
-1,4
-1,4
-1,5
-1,5
-1,5
-1,5
-1,5
-1,5
-1,5
-1,5
-1,6
-1,6
-1,6
-1,6
-1,6
-1,6
-1,6
-1,6
-1,7
-1,7
-1,7
-1,7
-1,7
-1,7
-1,7
-1,7
-1,8
-1,8
-1,8
-1,8
-1,9
-1,9
-1,9
-1,9
-1,10
-1,10
-1,10
-1,10
-1,11
-1,11
-1,11
-1,11
-1,12
-1,12
-1,12
-1,12
-1,13
-1,13
-1,13
-1,13
-1,14
-1,14
-1,14
-1,14
-1,15
-1,15
-1,15
-1,15
-1,16
-1,16
-1,16
-1,16
-1,17
-1,17
-1,17
-1,17
-1,18
-1,18
-1,18
-1,18
-1,19
-1,19
-1,19
-1,19
