curr
ID,PE1
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,2
10,3
11,4
12,5
13,6
14,7
15,3
16,4
17,5
18,6
19,7
0,4
0,5
0,6
0,7
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,6
0,7
0,9
0,10
0,12
0,13
0,15
0,16
0,18
0,19
0,7
0,10
0,13
0,16
0,19
par
ID,PE1
0,0
1,0
2,1
3,2
4,3
5,4
6,5
0,6
8,1
9,2
0,3
11,4
12,5
0,6
14,2
15,3
0,4
17,5
18,6
0,3
0,4
0,5
0,6
0,4
0,5
0,6
0,0
0,8
0,9
0,0
0,11
0,12
0,0
0,14
0,15
0,0
0,17
0,18
0,5
0,6
0,8
0,9
0,11
0,12
0,14
0,15
0,17
0,18
0,6
0,9
0,12
0,15
0,18
derv
ID,PE1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,3
-1,3
-1,3
-1,3
-1,3
-1,4
-1,4
-1,4
-1,4
-1,5
-1,5
-1,5
-1,8
-1,8
-1,8
-1,11
-1,11
-1,11
-1,14
-1,14
-1,14
-1,17
-1,17
-1,17
-1,6
-1,6
-1,9
-1,9
-1,12
-1,12
-1,15
-1,15
-1,18
-1,18
-1,7
-1,10
-1,13
-1,16
-1,19
