curr
ID,PE1,PE2
20,20,20
7,7,7
6,6,6
5,5,5
4,4,4
3,3,3
2,2,2
1,1,1
20,20,20
10,7,7
9,6,6
8,5,5
20,4,4
13,3,3
12,2,2
11,1,1
20,20,20
16,7,7
15,6,6
14,5,5
20,4,4
19,3,3
18,2,2
17,1,1
0,20,20
0,7,10
0,6,9
0,5,8
0,4,20
0,3,10
0,2,9
0,1,8
0,20,20
0,10,13
0,9,12
0,8,11
0,20,20
0,13,13
0,12,12
0,11,11
0,20,20
0,16,16
0,15,15
0,14,14
0,20,20
0,16,19
0,15,18
0,14,17
0,20,20
0,19,19
0,18,18
0,17,17
par
ID,PE1,PE2
7,7,7
6,6,6
5,5,5
4,4,4
3,3,3
2,2,2
1,1,1
0,0,0
10,7,7
9,6,6
8,5,5
0,4,4
13,3,3
12,2,2
11,1,1
0,0,0
16,7,7
15,6,6
14,5,5
0,4,4
19,3,3
18,2,2
17,1,1
0,0,0
0,7,10
0,6,9
0,5,8
0,4,0
0,3,10
0,2,9
0,1,8
0,0,0
0,10,13
0,9,12
0,8,11
0,0,0
0,13,13
0,12,12
0,11,11
0,0,0
0,16,16
0,15,15
0,14,14
0,0,0
0,16,19
0,15,18
0,14,17
0,0,0
0,19,19
0,18,18
0,17,17
0,0,0
derv
ID,PE1,PE2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,5,6
-1,5,6
-1,5,6
-1,5,6
-1,5,6
-1,5,6
-1,5,6
-1,5,6
-1,7,8
-1,7,8
-1,7,8
-1,7,8
-1,7,9
-1,7,9
-1,7,9
-1,7,9
-1,10,11
-1,10,11
-1,10,11
-1,10,11
-1,12,13
-1,12,13
-1,12,13
-1,12,13
-1,14,15
-1,14,15
-1,14,15
-1,14,15
-1,16,17
-1,16,17
-1,16,17
-1,16,17
-1,18,19
-1,18,19
-1,18,19
-1,18,19
