curr
ID,PE1,PE2
1,0,0
2,1,0
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,3,4
10,4,5
11,5,6
12,6,7
13,7,5
14,8,6
15,9,7
16,10,11
17,14,12
18,15,13
19,16,17
0,6,18
0,7,19
0,9,12
0,10,13
0,15,18
0,16,19
0,7,10
0,13,16
0,19,0
par
ID,PE1,PE2
0,0,0
1,0,0
2,1,1
3,2,2
4,3,3
5,4,4
6,5,5
0,6,6
8,2,3
9,3,4
0,4,5
11,5,6
12,6,4
0,0,5
14,8,6
15,9,0
0,0,11
17,14,12
18,15,0
0,5,17
0,6,18
0,8,11
0,9,12
0,14,17
0,15,18
0,6,9
0,12,15
0,18,0
derv
ID,PE1,PE2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,3,4
-1,3,4
-1,3,4
-1,3,4
-1,3,5
-1,8,5
-1,8,5
-1,8,11
-1,14,11
-1,14,11
-1,14,17
-1,6,17
-1,6,17
-1,9,12
-1,9,12
-1,15,18
-1,15,18
-1,7,10
-1,13,16
-1,19,16
