curr
ID,PE1,PE2,PE3
20,20,20,20
7,7,7,7
6,6,6,6
5,5,5,5
4,4,4,4
3,3,3,3
2,2,2,2
1,1,1,1
20,20,20,20
10,7,7,7
9,6,6,6
8,5,5,5
20,4,4,4
13,3,3,3
12,2,2,2
11,1,1,1
20,20,20,20
16,7,10,10
15,6,9,9
14,5,8,8
20,4,20,20
19,3,10,13
18,2,9,12
17,1,8,11
0,20,20,20
0,13,13,16
0,12,12,15
0,11,11,14
0,20,20,20
0,16,16,19
0,15,15,18
0,14,14,17
0,20,20,0
0,19,19,0
0,18,18,0
0,17,17,0
par
ID,PE1,PE2,PE3
7,7,7,7
6,6,6,6
5,5,5,5
4,4,4,4
3,3,3,3
2,2,2,2
1,1,1,1
0,0,0,0
10,7,7,7
9,6,6,6
8,5,5,5
0,4,4,4
13,3,3,3
12,2,2,2
11,1,1,1
0,0,0,0
16,7,10,10
15,6,9,9
14,5,8,8
0,4,0,0
19,3,10,13
18,2,9,12
17,1,8,11
0,0,0,0
0,13,13,16
0,12,12,15
0,11,11,14
0,0,0,0
0,16,16,19
0,15,15,18
0,14,14,17
0,0,0,0
0,19,19,0
0,18,18,0
0,17,17,0
0,0,0,0
derv
ID,PE1,PE2,PE3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,4,5,6
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,8,9
-1,7,10,11
-1,7,10,11
-1,7,10,11
-1,7,10,11
-1,12,13,14
-1,12,13,14
-1,12,13,14
-1,12,13,14
-1,15,16,17
-1,15,16,17
-1,15,16,17
-1,15,16,17
-1,18,19,17
-1,18,19,17
-1,18,19,17
-1,18,19,17
