curr
ID,PE1,PE2,PE3
1,0,0,0
2,1,0,0
3,2,2,0
4,3,3,3
5,4,4,4
6,5,5,5
7,6,6,6
8,7,7,7
9,4,5,8
10,5,6,9
11,6,7,10
12,7,11,6
13,9,12,7
14,10,13,12
15,14,7,13
16,15,15,10
17,16,16,13
18,17,16,0
19,18,18,0
0,19,19,19
par
ID,PE1,PE2,PE3
0,0,0,0
1,0,0,0
2,1,1,0
3,2,2,2
4,3,3,3
5,4,4,4
6,5,5,5
0,6,6,6
8,3,4,0
9,4,5,8
0,5,6,9
11,6,0,5
12,8,11,6
0,9,12,11
14,0,6,12
15,14,14,9
0,15,15,12
17,0,15,0
18,17,17,0
0,18,18,18
derv
ID,PE1,PE2,PE3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,1,2,3
-1,4,5,8
-1,4,5,8
-1,4,5,8
-1,4,11,6
-1,9,11,6
-1,9,11,12
-1,14,7,12
-1,14,15,10
-1,14,15,13
-1,17,16,13
-1,17,18,13
-1,17,18,19
