curr
ID,PE1,PE2,PE3,PE4
20,20,20,20,20
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
1,1,1,1,1
20,20,20,20,20
10,7,7,7,10
9,6,6,6,9
8,5,5,5,8
20,4,4,4,20
13,3,3,3,10
12,2,2,2,9
11,1,1,1,8
20,20,20,20,20
16,10,13,13,13
15,9,12,12,12
14,8,11,11,11
20,20,20,20,20
19,16,16,16,19
18,15,15,15,18
17,14,14,14,17
0,20,20,0,0
0,19,19,0,0
0,18,18,0,0
0,17,17,0,0
par
ID,PE1,PE2,PE3,PE4
7,7,7,7,7
6,6,6,6,6
5,5,5,5,5
4,4,4,4,4
3,3,3,3,3
2,2,2,2,2
1,1,1,1,1
0,0,0,0,0
10,7,7,7,10
9,6,6,6,9
8,5,5,5,8
0,4,4,4,0
13,3,3,3,10
12,2,2,2,9
11,1,1,1,8
0,0,0,0,0
16,10,13,13,13
15,9,12,12,12
14,8,11,11,11
0,0,0,0,0
19,16,16,16,19
18,15,15,15,18
17,14,14,14,17
0,0,0,0,0
0,19,19,0,0
0,18,18,0,0
0,17,17,0,0
0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,8
-1,5,6,7,9
-1,5,6,7,9
-1,5,6,7,9
-1,5,6,7,9
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,10,11,12,13
-1,14,15,16,17
-1,14,15,16,17
-1,14,15,16,17
-1,14,15,16,17
-1,18,19,16,17
-1,18,19,16,17
-1,18,19,16,17
-1,18,19,16,17
