curr
ID,PE1,PE2,PE3,PE4
1,0,0,0,0
2,1,0,0,0
3,2,2,0,0
4,3,3,3,0
5,4,4,4,4
6,5,5,5,5
7,6,6,6,6
8,7,7,7,7
9,5,8,6,7
10,6,9,7,9
11,7,10,10,10
12,11,0,0,0
13,12,12,0,0
14,13,13,13,0
15,14,0,0,0
16,15,15,0,0
17,16,16,16,0
18,17,0,0,0
19,18,18,0,0
0,19,19,19,0
par
ID,PE1,PE2,PE3,PE4
0,0,0,0,0
1,0,0,0,0
2,1,1,0,0
3,2,2,2,0
4,3,3,3,3
5,4,4,4,4
6,5,5,5,5
0,6,6,6,6
8,4,0,5,6
9,5,8,6,8
0,6,9,9,9
11,0,0,0,0
12,11,11,0,0
0,12,12,12,0
14,0,0,0,0
15,14,14,0,0
0,15,15,15,0
17,0,0,0,0
18,17,17,0,0
0,18,18,18,0
derv
ID,PE1,PE2,PE3,PE4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,1,2,3,4
-1,5,8,6,7
-1,5,8,6,9
-1,5,8,10,9
-1,11,8,10,9
-1,11,12,10,9
-1,11,12,13,9
-1,14,12,13,9
-1,14,15,13,9
-1,14,15,16,9
-1,17,15,16,9
-1,17,18,16,9
-1,17,18,19,9
